repo,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
danakj/openbox,0.0,0.0,0.0,104.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,419.0
danaugrs/gokoban,0.0,1.0,0.0,25.0,0.0,19.0,13.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,177.0
dancergraham/HeadFirstDesignPatterns_python,0.0,11.0,6.0,37.0,0.0,5.0,4.0,0.0,0.0,22.0,0.0,0.0,94.0,0.0,86.0
danforthcenter/plantcv,0.0,748.0,676.0,197.0,0.0,2289.0,615.0,14.0,0.0,1417.0,380.0,718.0,3581.0,31.0,482.0
dangkhoasdc/awesome-vector-database,0.0,2.0,0.0,10.0,0.0,3.0,10.0,0.0,0.0,6.0,0.0,1.0,179.0,0.0,191.0
daniel-lundin/dom-confetti,0.0,8.0,1.0,20.0,0.0,6.0,4.0,0.0,0.0,15.0,0.0,1.0,12.0,0.0,136.0
daniel-seiler/ImageTheming,0.0,8.0,5.0,3.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,18.0,4.0,271.0
danielalalade/Project-by-Elisium-C.S-GOU,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.0
danielbohannon/Invoke-DOSfuscation,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0
danielesteban/softxels,0.0,3.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,52.0
danielgindi/ChartsRealm,0.0,8.0,6.0,20.0,0.0,20.0,9.0,0.0,0.0,16.0,0.0,0.0,9.0,2.0,51.0
danielgordon10/vince,0.0,6.0,1.0,14.0,0.0,18.0,18.0,1.0,0.0,8.0,0.0,0.0,14.0,0.0,70.0
danielgtaylor/huma,0.0,242.0,188.0,140.0,0.0,980.0,396.0,7.0,0.0,569.0,169.0,301.0,558.0,62.0,1866.0
danielkummer/git-flow-cheatsheet,0.0,0.0,0.0,257.0,0.0,5.0,4.0,0.0,0.0,37.0,0.0,12.0,16.0,0.0,659.0
daniellowrie/update_script,0.0,2.0,0.0,31.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,94.0
danielnuwin/React-Photography-Portfolio,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,78.0
danielortega90/Warzone2-Hack-HYROCOPT-cheat-FREE-COD-cheat-Aim-ESP-Spoofer,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
danieluhricek/LiSa,0.0,3.0,2.0,85.0,0.0,56.0,45.0,0.0,0.0,27.0,0.0,5.0,11.0,0.0,388.0
danigb/smplr,0.0,36.0,35.0,18.0,0.0,107.0,51.0,0.0,0.0,76.0,0.0,0.0,81.0,1.0,166.0
daniild71r/lectures_tex_club,0.0,27.0,11.0,13.0,0.0,0.0,0.0,14.0,0.0,52.0,0.0,2.0,272.0,0.0,61.0
danitseitlin/redis-modules-sdk,0.0,78.0,45.0,13.0,3.0,61.0,66.0,0.0,1.0,113.0,43.0,42.0,410.0,34.0,78.0
dannyvankooten/extemplate,0.0,1.0,0.0,17.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,11.0,1.0,50.0
