repo_name,month,downloads
Bitcoin-ABC/bitcoin-abc,2024-03,4848
Bitcoin-ABC/bitcoin-abc,2024-04,3162
Bitcoin-ABC/bitcoin-abc,2024-05,2804
Bitcoin-ABC/bitcoin-abc,2024-06,2389
BlackAmda/QueenAmdi,2022-11,42
BlackAmda/QueenAmdi,2022-12,8149
BlackAmda/QueenAmdi,2023-01,3975
BlackAmda/QueenAmdi,2023-02,2280
BlackAmda/QueenAmdi,2023-03,3204
BlackAmda/QueenAmdi,2023-04,2170
BlackAmda/QueenAmdi,2023-05,1319
BlackAmda/QueenAmdi,2023-06,1279
BlackAmda/QueenAmdi,2023-07,1480
BlackAmda/QueenAmdi,2023-08,2467
BlackAmda/QueenAmdi,2023-09,430
BlackAmda/QueenAmdi,2023-10,668
BlackAmda/QueenAmdi,2023-11,283
BlackAmda/QueenAmdi,2023-12,170
BlackAmda/QueenAmdi,2024-01,260
BlackAmda/QueenAmdi,2024-02,111
BlackAmda/QueenAmdi,2024-03,135
BlackAmda/QueenAmdi,2024-04,132
BlackAmda/QueenAmdi,2024-05,166
BlackAmda/QueenAmdi,2024-06,92
Joystream/joystream,2019-05,153
Joystream/joystream,2019-06,220
Joystream/joystream,2019-07,185
Joystream/joystream,2019-08,19
Joystream/joystream,2019-09,54
Joystream/joystream,2019-10,29
Joystream/joystream,2019-11,45
Joystream/joystream,2019-12,85
Joystream/joystream,2020-01,83
Joystream/joystream,2020-02,165
Joystream/joystream,2020-03,123
Joystream/joystream,2020-04,120
Joystream/joystream,2020-05,458
Joystream/joystream,2020-06,4543
Joystream/joystream,2020-07,11214
Joystream/joystream,2020-08,11452
Joystream/joystream,2020-09,26185
Joystream/joystream,2020-10,5604
Joystream/joystream,2020-11,3244
Joystream/joystream,2020-12,493
Joystream/joystream,2021-01,296
Joystream/joystream,2021-02,2941
Joystream/joystream,2021-03,718
Joystream/joystream,2021-04,974
Joystream/joystream,2021-05,1179
Joystream/joystream,2021-06,1150
Joystream/joystream,2021-07,1543
Joystream/joystream,2021-08,1843
Joystream/joystream,2021-09,6406
Joystream/joystream,2021-10,6789
Joystream/joystream,2021-11,3527
Joystream/joystream,2021-12,5506
Joystream/joystream,2022-01,2699
Joystream/joystream,2022-02,1859
Joystream/joystream,2022-03,1968
Joystream/joystream,2022-04,1725
Joystream/joystream,2022-05,1637
Joystream/joystream,2022-06,1626
Joystream/joystream,2022-07,992
Joystream/joystream,2022-08,1352
Joystream/joystream,2022-09,1048
Joystream/joystream,2022-10,1213
Joystream/joystream,2022-11,1089
Joystream/joystream,2022-12,2028
Joystream/joystream,2023-01,3835
Joystream/joystream,2023-02,2159
Joystream/joystream,2023-03,2618
Joystream/joystream,2023-04,2296
Joystream/joystream,2023-05,1534
Joystream/joystream,2023-06,3137
Joystream/joystream,2023-07,2057
Joystream/joystream,2023-08,2872
Joystream/joystream,2023-09,3376
Joystream/joystream,2023-10,4048
Joystream/joystream,2023-11,5501
Joystream/joystream,2023-12,3137
Joystream/joystream,2024-01,1797
Joystream/joystream,2024-02,2695
Joystream/joystream,2024-03,2708
Joystream/joystream,2024-04,1399
Joystream/joystream,2024-05,1147
Joystream/joystream,2024-06,672
Microsoft/TypeScript,2015-01,0
Microsoft/TypeScript,2015-02,3408
Microsoft/TypeScript,2015-03,68880
Microsoft/TypeScript,2015-04,85781
Microsoft/TypeScript,2015-05,147012
Microsoft/TypeScript,2015-06,209604
Microsoft/TypeScript,2015-07,246923
Microsoft/TypeScript,2015-08,275703
Microsoft/TypeScript,2015-09,391055
Microsoft/TypeScript,2015-10,381019
Microsoft/TypeScript,2015-11,670528
Microsoft/TypeScript,2015-12,742494
Microsoft/TypeScript,2016-01,835643
Microsoft/TypeScript,2016-02,1009467
Microsoft/TypeScript,2016-03,1284695
Microsoft/TypeScript,2016-04,1293201
Microsoft/TypeScript,2016-05,1300465
Microsoft/TypeScript,2016-06,1588957
Microsoft/TypeScript,2016-07,1799494
Microsoft/TypeScript,2016-08,2038493
Microsoft/TypeScript,2016-09,2261538
Microsoft/TypeScript,2016-10,2301778
Microsoft/TypeScript,2016-11,2400052
Microsoft/TypeScript,2016-12,2432769
Microsoft/TypeScript,2017-01,2830605
Microsoft/TypeScript,2017-02,3504657
Microsoft/TypeScript,2017-03,4147290
Microsoft/TypeScript,2017-04,4139592
Microsoft/TypeScript,2017-05,4899371
Microsoft/TypeScript,2017-06,5748787
Microsoft/TypeScript,2017-07,4603360
Microsoft/TypeScript,2017-08,6391816
Microsoft/TypeScript,2017-09,7515429
Microsoft/TypeScript,2017-10,7792601
Microsoft/TypeScript,2017-11,8268484
Microsoft/TypeScript,2017-12,8329547
Microsoft/TypeScript,2018-01,9412783
Microsoft/TypeScript,2018-02,9629434
Microsoft/TypeScript,2018-03,11320598
Microsoft/TypeScript,2018-04,10978098
Microsoft/TypeScript,2018-05,11456300
Microsoft/TypeScript,2018-06,12081771
Microsoft/TypeScript,2018-07,13218785
Microsoft/TypeScript,2018-08,14306645
Microsoft/TypeScript,2018-09,14068776
Microsoft/TypeScript,2018-10,16799446
Microsoft/TypeScript,2018-11,17143113
Microsoft/TypeScript,2018-12,14829189
Microsoft/TypeScript,2019-01,19184955
Microsoft/TypeScript,2019-02,20663352
Microsoft/TypeScript,2019-03,22888794
Microsoft/TypeScript,2019-04,23977714
Microsoft/TypeScript,2019-05,24624240
Microsoft/TypeScript,2019-06,25102661
Microsoft/TypeScript,2019-07,27961940
Microsoft/TypeScript,2019-08,28257119
Microsoft/TypeScript,2019-09,29527663
Microsoft/TypeScript,2019-10,34522536
Microsoft/TypeScript,2019-11,33632943
Microsoft/TypeScript,2019-12,32796699
Microsoft/TypeScript,2020-01,38439948
Microsoft/TypeScript,2020-02,38099975
Microsoft/TypeScript,2020-03,46041373
Microsoft/TypeScript,2020-04,46891446
Microsoft/TypeScript,2020-05,47463425
Microsoft/TypeScript,2020-06,49998311
Microsoft/TypeScript,2020-07,55781928
Microsoft/TypeScript,2020-08,52624673
Microsoft/TypeScript,2020-09,57347563
Microsoft/TypeScript,2020-10,63348736
Microsoft/TypeScript,2020-11,62434577
Microsoft/TypeScript,2020-12,59668367
Microsoft/TypeScript,2021-01,63687441
Microsoft/TypeScript,2021-02,71863036
Microsoft/TypeScript,2021-03,88034686
Microsoft/TypeScript,2021-04,81479995
Microsoft/TypeScript,2021-05,82110603
Microsoft/TypeScript,2021-06,88259270
Microsoft/TypeScript,2021-07,87496531
Microsoft/TypeScript,2021-08,89917901
Microsoft/TypeScript,2021-09,96575767
Microsoft/TypeScript,2021-10,99306279
Microsoft/TypeScript,2021-11,102904323
Microsoft/TypeScript,2021-12,105679661
Microsoft/TypeScript,2022-01,123594258
Microsoft/TypeScript,2022-02,123727915
Microsoft/TypeScript,2022-03,143117995
Microsoft/TypeScript,2022-04,124981831
Microsoft/TypeScript,2022-05,130010946
Microsoft/TypeScript,2022-06,136316487
Microsoft/TypeScript,2022-07,126916947
Microsoft/TypeScript,2022-08,145070524
Microsoft/TypeScript,2022-09,147833802
Microsoft/TypeScript,2022-10,148745512
Microsoft/TypeScript,2022-11,164320947
Microsoft/TypeScript,2022-12,139015287
Microsoft/TypeScript,2023-01,156130648
Microsoft/TypeScript,2023-02,155126171
Microsoft/TypeScript,2023-03,176927093
Microsoft/TypeScript,2023-04,157670068
Microsoft/TypeScript,2023-05,174335405
Microsoft/TypeScript,2023-06,177307014
Microsoft/TypeScript,2023-07,176884411
Microsoft/TypeScript,2023-08,190860833
Microsoft/TypeScript,2023-09,182916897
Microsoft/TypeScript,2023-10,196540772
Microsoft/TypeScript,2023-11,183930040
Microsoft/TypeScript,2023-12,174732863
Microsoft/TypeScript,2024-01,206423716
Microsoft/TypeScript,2024-02,207079270
Microsoft/TypeScript,2024-03,219386185
Microsoft/TypeScript,2024-04,228201441
Microsoft/TypeScript,2024-05,230795366
Microsoft/TypeScript,2024-06,220624410
Microsoft/playwright,2020-03,140
Microsoft/playwright,2020-04,3
Microsoft/playwright,2020-05,10
Microsoft/playwright,2020-06,5
Microsoft/playwright,2020-07,7
Microsoft/playwright,2020-08,25
Microsoft/playwright,2020-09,8
Microsoft/playwright,2020-10,8
Microsoft/playwright,2020-11,7
Microsoft/playwright,2020-12,10
Microsoft/playwright,2021-01,9
Microsoft/playwright,2021-02,6
Microsoft/playwright,2021-03,22
Microsoft/playwright,2021-04,14
Microsoft/playwright,2021-05,10
Microsoft/playwright,2021-06,31
Microsoft/playwright,2021-07,28
Microsoft/playwright,2021-08,12
Microsoft/playwright,2021-09,332
Microsoft/playwright,2021-10,392
Microsoft/playwright,2021-11,3384
Microsoft/playwright,2021-12,817
Microsoft/playwright,2022-01,3191
Microsoft/playwright,2022-02,6156
Microsoft/playwright,2022-03,8163
Microsoft/playwright,2022-04,6958
Microsoft/playwright,2022-05,9842
Microsoft/playwright,2022-06,9866
Microsoft/playwright,2022-07,10771
Microsoft/playwright,2022-08,17635
Microsoft/playwright,2022-09,24575
Microsoft/playwright,2022-10,26080
Microsoft/playwright,2022-11,28769
Microsoft/playwright,2022-12,29016
Microsoft/playwright,2023-01,34053
Microsoft/playwright,2023-02,34065
Microsoft/playwright,2023-03,39245
Microsoft/playwright,2023-04,25838
Microsoft/playwright,2023-05,25198
Microsoft/playwright,2023-06,28495
Microsoft/playwright,2023-07,29590
Microsoft/playwright,2023-08,31379
Microsoft/playwright,2023-09,32305
Microsoft/playwright,2023-10,33384
Microsoft/playwright,2023-11,32775
Microsoft/playwright,2023-12,27927
Microsoft/playwright,2024-01,37286
Microsoft/playwright,2024-02,36879
Microsoft/playwright,2024-03,47759
Microsoft/playwright,2024-04,50930
Microsoft/playwright,2024-05,55082
Microsoft/playwright,2024-06,59368
MirrorCY/rryth,2022-11,927
MirrorCY/rryth,2022-12,1016
MirrorCY/rryth,2023-01,701
MirrorCY/rryth,2023-02,87885
MirrorCY/rryth,2023-03,536
MirrorCY/rryth,2023-04,1099
MirrorCY/rryth,2023-05,332
MirrorCY/rryth,2023-06,92
MirrorCY/rryth,2023-07,206
MirrorCY/rryth,2023-08,144
MirrorCY/rryth,2023-09,109
MirrorCY/rryth,2023-10,220
MirrorCY/rryth,2023-11,168
MirrorCY/rryth,2023-12,112
MirrorCY/rryth,2024-01,237
MirrorCY/rryth,2024-02,64
MirrorCY/rryth,2024-03,47
MirrorCY/rryth,2024-04,43
MirrorCY/rryth,2024-05,70
MirrorCY/rryth,2024-06,30
SamPandey001/Secktor-Md,2022-11,1621
SamPandey001/Secktor-Md,2022-12,11717
SamPandey001/Secktor-Md,2023-01,4535
SamPandey001/Secktor-Md,2023-02,6267
