repo,packages,trending,domain
childrentime/reactuse,True,False,web
chinapandaman/PyPDFForm,True,False,basic-utilty
Cinnamon/kotaemon,False,True,ai
Cinoquloqaz1267ibanu/minecraftBFH,False,False,suspicious
cm609/formulario_flask,False,False,suspicious
CN-annotation-team/leveldb-chinese-annotated,False,True,tutorial/demo
codeblitz97/discord-authorize,True,False,web
CodeFromAnywhere/ActionSchema,True,False,deleted
codefuse-ai/CodeFuse-muAgent,True,False,ai
coells/100days,False,False,tutorial/demo
ComposioHQ/composio,True,True,ai
coreos/mantle,True,False,web
corescriptions/indexer,False,False,blockchain
cpboost/double-co-detr,False,False,ai
crlang/Trad-vieww-crck,False,False,tutorial/demo
crustio/crust-wiki,False,False,blockchain
CryptoRig-Optimizer-Maximize-Profits/.github,False,False,suspicious
cutupdev/Solana-Raydium-Sniper-Bot,False,False,blockchain
DaiYu-233/YMCL.Avalonia,False,False,tool/application
dalemoncayo/android-kotlin-datastore-sharedpreferences,False,False,tutorial/demo
dalemoncayo/android-kotlin-dialogs,False,False,tutorial/demo
dalemoncayo/android-kotlin-retrofit,False,False,tutorial/demo
dalemoncayo/react-pokedex-webapp,False,False,tutorial/demo
danl5/goelect,True,False,other
DarkMod3/CMSP-Plataformas-Hacks,False,False,suspicious
datawithdanny/sql-masterclass,False,False,tutorial/demo
deepseek-ai/DeepSeek-VL,False,True,ai
DeFiSolMaster/Solana-Sniper-Bot-Opensource,False,True,suspicious
dekrypted/discord-image-logger,False,True,tool/application
developersdigest/llm-answer-engine,False,True,ai
DevSwanson/how-to-create-memetoken-memecoin,False,False,blockchain
DevSwanson/smart-contract-honeypot,False,False,blockchain
Dhanvanth0905/Face_recognition_usingPCA,False,False,ai
Dhanvanth0905/Python-for-Ml,False,False,ai
Di3colearn/Active-Developer-Badge,False,False,suspicious
diamcircle/Aurora,True,False,blockchain
diamcircle/go,True,False,blockchain
diamcircle/go-xdr,True,False,blockchain
diamcircle/throttled,True,False,blockchain
difizen/libro,True,False,ai
diggerhq/digger,True,True,web
dingodb/dingo,False,False,database
dinosaur93702/Hypixel-SkyBlock,False,False,suspicious
Diraw/Advance-Computer-Vision-with-Python,False,False,tutorial/demo
djwalkzz16/BotFarmer,False,False,bot
djwalkzz16/krunker.io-hack,False,False,bot
dnbmagic/farcaster-js,False,False,tool/application
DorianMazur/react-native-keychain-manager,True,False,web
DosX-dev/BatchToApp,False,False,tool/application
DosX-dev/MemCleaner,False,False,tool/application
DosX-dev/TinySnake-game,False,False,tool/application
Dough-su/nepu_course,False,False,tool/application
dream-mo/prom-elastic-alert,True,False,web
drl990114/MarkFlowy,True,False,tool/application
duckdunk/Genshin-Impact,False,False,suspicious
duxweb/duxcms,True,False,web
dvlab-research/Lyra,False,False,ai
dymproject/purest-admin,False,False,tutorial/demo
e-enes/invitron,False,False,tool/application
Easy-Email-Pro/smart-mjml,True,False,web
Ellen-James77/Office,False,False,suspicious
EmmanuelCasarrubias/EmmanuelCasarrubias1,False,False,tutorial/demo
emuPlace/emuThreeDS,False,True,tool/application
Endalebob/HWlD-SPOOFER,False,False,tool/application
Eposs10/quests-and-skills,False,False,other
Ethrunner1/Ethrunner-Sniper-bot,False,False,suspicious
ethstorage/es-node,True,True,blockchain
EvolvingLMMs-Lab/lmms-eval,True,False,ai
face-hh/webx,False,True,tool/application
FaceOnLive/Face-Attendance-App-Flutter,False,False,tutorial/demo
Faceplugin-ltd/FaceLivenessDetection-Docker,False,False,ai
Faceplugin-ltd/FaceLivenessDetection-Linux,False,False,ai
Faceplugin-ltd/FaceRecognition-LivenessDetection-Android,False,False,ai
Faceplugin-ltd/ID-Card-Recognition,False,False,ai
Faker-lz/Topic_and_user_profile_analysis_system,False,False,tool/application
faketarek/Neptune,False,False,suspicious
FastMiners/Gminer,False,True,suspicious
feiniaojin/graceful-response,False,False,web
felixtrz/elics,True,False,web
Firstzada/Discord-Bot-Base,False,False,bot
flashbots-sdk/ethers-provider-flashbots-bundle,True,False,blockchain
fluencelabs/nox,False,True,blockchain
fofr/cog-face-to-many,False,True,ai
FoundationVision/Groma,False,False,ai
freechat-fun/freechat,True,False,ai
FTCHD/frametrain,False,False,ai
fudan-generative-vision/champ,False,True,ai
fudan-generative-vision/hallo2,False,False,ai
furtunp/camtasia-free-version,False,False,suspicious
G3H4N/PRjack,False,False,ai
gaarason/database-all,False,False,database
Gabr1elSouza/DashBoard-LD,False,False,suspicious
GalkaKG/Vood,False,False,tutorial/demo
GENERALGUIDECORPORATION/guide-general-app,False,False,suspicious
GeneralLibrary/GeneralUpdate,True,False,web
Gikiman/Autoxhs,False,False,tool/application
GistNoesis/FourierKAN,False,True,ai
gitHusband/Validation,True,False,database
globalcorporation/global,True,False,suspicious
globalcorporation/global_app,False,False,suspicious
globalcorporation/global_gram_app,False,False,suspicious
GLskill/Pattern-Method,False,False,tutorial/demo
go-lynx/lynx,True,False,web
gqylpy/exceptionx,True,False,basic-utilty
gqylpy/funccache,True,False,basic-utilty
Green-EthanSOL/Sniper-Calls-Bot,False,False,blockchain
greydoubt/m77,True,False,ai
Gyggg32/PrivSocialRec,False,False,ai
HackerRankGPT/hackerrank-solutions,False,False,ai
Haeven/msteam-log-transport,False,False,tool/application
Haiananan/next-fast-table,True,False,web
HAL-42/AlchemyCat,True,False,ai
harmony-one/harmony,True,True,blockchain
hawshemi/Tools,False,False,tool/application
help-iq2/telethon,False,True,suspicious
herche-jane/IntelliScraper,True,False,web
history26/ntt_hls,False,False,suspicious
hitsz-ids/synthetic-data-generator,True,True,ai
hngprojects/hng_boilerplate_golang_web,True,False,tutorial/demo
hngprojects/hng_boilerplate_java_web,False,False,tutorial/demo
Holo-Host/web-sdk,True,False,blockchain
holochain/docs-pages,False,False,blockchain
holochain/holochain,True,True,blockchain
holochain/holochain-client-js,True,False,blockchain
holochain/holochain-client-rust,True,False,blockchain
holochain/holochain-proto,True,False,blockchain
holochain/holochain-rust,True,False,blockchain
holochain/launcher,True,False,blockchain
holochain/scaffolding,True,False,blockchain
holochain/tryorama,True,False,blockchain
holochain/wind-tunnel,True,False,blockchain
honeyman11/crypto-honeypot,False,False,suspicious
honeyman11/solana-honeypot-smartcontract,False,False,suspicious
hoorayman/popple,True,False,database
HossamGouda/company-website,False,False,tutorial/demo
HossamGouda/DSA,False,False,tutorial/demo
hugo-fixit/FixIt,True,False,web
HugoWw/x_apiserver,False,False,web
hurttttr/Vc-mod,False,False,tutorial/demo
hviana/faster_react,True,False,web
hwidspoofer1/HWID-Spoofer-and-Cleaner-2024,False,False,suspicious
IammyselfYBX/.emacs.d,False,False,tutorial/demo
IammyselfYBX/my_Karabiner-Elements,False,False,tutorial/demo
IceBearAI/LLM-And-More,False,True,ai
iexa/justexp,False,False,suspicious
IIIAnu6isIII/IIIAnu6isIII,False,False,suspicious
Illurin/GTA5,False,False,other
ILurch/UzaProject,False,False,suspicious
Imran407704/archive,False,False,tool/application
Imran407704/My-eJPT-Journey,False,False,tutorial/demo
Imran407704/payloads,False,False,tutorial/demo
Imran407704/stest,False,False,tutorial/demo
in1nit1t/uniref,True,False,other
indicium-ag/rsult,True,False,other
indifs/indifs,True,False,blockchain
insight-chain/inb-go,True,True,blockchain
InternLM/agentlego,True,False,ai
InternLM/InternLM-Math,False,False,ai
IPILabs/shorter-v1-periphery,True,False,deleted
IqbalKbll/tea-anjay,True,False,deleted
ischenliang/quickly-picture-bed,False,False,web
jab1x/WORMFARE_CLICKER,False,False,suspicious
jasonsoft/nestjs-seq,True,False,web
jayyagain/Adobe-Animate,False,False,suspicious
jeffcail/sql2orm,True,False,other
jen-soft/pydocker,True,False,other
JetXu-LLM/llama-github,True,False,ai
jialuechen/shogunfolio,True,False,ai
jianzfb/antgo,True,False,ai
jiawanlong/cesium-three-demos,False,False,tutorial/demo
jiaxiangc/ComfyUI-ResAdapter,False,False,ai
JimmyLaurent/hcaptcha-solver,True,False,ai
JL-ghcoder/Athena,False,False,tool/application
joaokristani/Discord-Server-Cloner-2x,False,True,tool/application
