github,total_stars,fake_stars,fake_percentage
swagger-autogen/swagger-autogen,447,4,0.8948545861297539
octokit/request.js,224,2,0.8928571428571428
storyblok/storyblok-react,113,1,0.8849557522123894
hjdhjd/homebridge-myq,567,5,0.8818342151675485
crowdin/crowdin-api-client-js,114,1,0.8771929824561403
chalk/wrap-ansi,114,1,0.8771929824561403
desktop/dugite,456,4,0.8771929824561403
openedx/paragon,115,1,0.8695652173913043
sasjs/core,116,1,0.8620689655172413
equinor/design-system,116,1,0.8620689655172413
random-access-storage/random-access-memory,116,1,0.8620689655172413
flowup/api-client-generator,116,1,0.8620689655172413
amrlabib/react-native-appstate-hook,117,1,0.8547008547008548
amplitude/react-amplitude,117,1,0.8547008547008548
beefyfinance/beefy-api,117,1,0.8547008547008548
hCaptcha/react-hcaptcha,353,3,0.84985835694051
texei/texei-sfdx-plugin,118,1,0.847457627118644
fwcd/tree-sitter-kotlin,118,1,0.847457627118644
element-plus/element-plus-nuxt,119,1,0.8403361344537815
internalfx/distinct-colors,119,1,0.8403361344537815
wechat-miniprogram/minigame-api-typings,119,1,0.8403361344537815
hyperledger/aries-vcx,120,1,0.8333333333333334
baldore/webpack-open-plugin,120,1,0.8333333333333334
pikaz-18/pikaz-location,242,2,0.8264462809917356
sanchezzzhak/node-device-detector,121,1,0.8264462809917356
ngstack/code-editor,122,1,0.819672131147541
gaearon/react-deep-force-update,122,1,0.819672131147541
damianobarbati/get-browser-fingerprint,122,1,0.819672131147541
gnosis/safe-deployments,123,1,0.8130081300813009
hprobotic/react-telegram-login,123,1,0.8130081300813009
safe-global/safe-deployments,123,1,0.8130081300813009
pulumi/pulumi-azure-native,123,1,0.8130081300813009
tree-sitter/tree-sitter-html,124,1,0.8064516129032258
qonversion/react-native-sdk,124,1,0.8064516129032258
filamentgroup/svg-to-png,125,1,0.8
webraptor/react-native-deck-swiper,126,1,0.7936507936507936
mxmvshnvsk/i18n-unused,126,1,0.7936507936507936
InteractiveAdvertisingBureau/iabtcf-es,127,1,0.7874015748031495
phantom-labs/blocklist,127,1,0.7874015748031495
microsoft/powerbi-client-angular,128,1,0.78125
pactumjs/pactum,514,4,0.7782101167315175
openshift/console,389,3,0.7712082262210797
jfrog/jfrog-cli-go,519,4,0.7707129094412332
jfrog/jfrog-cli,519,4,0.7707129094412332
infor-design/enterprise,130,1,0.7692307692307693
Uniswap/uniswap-v2-core,2867,22,0.7673526334147193
paylike/binlookup,131,1,0.7633587786259541
thoukydides/homebridge-homeconnect,132,1,0.7575757575757576
bevry/projectz,264,2,0.7575757575757576
9gustin/react-notion-render,132,1,0.7575757575757576
scm-manager/scm-manager,132,1,0.7575757575757576
a16z/a16z-contracts,265,2,0.7547169811320755
diprokon/ng-table-virtual-scroll,133,1,0.7518796992481203
bokub/github-stats-box,133,1,0.7518796992481203
masa-finance/masa-sdk,133,1,0.7518796992481203
edisonneza/jspdf-invoice-template,133,1,0.7518796992481203
discord/discord-interactions-js,401,3,0.7481296758104738
MyScript/iinkJS,134,1,0.7462686567164178
Jenesius/vue-modal,134,1,0.7462686567164178
SVF-tools/SVF,1345,10,0.7434944237918215
chriso/lru,135,1,0.7407407407407408
contentful/apps,135,1,0.7407407407407408
decentraland/unity-renderer,136,1,0.7352941176470588
KeesCBakker/Strongly-Typed-Events-for-TypeScript,136,1,0.7352941176470588
near/wallet-selector,137,1,0.7299270072992701
accordproject/cicero,275,2,0.7272727272727273
SalesforceCommerceCloud/pwa-kit,275,2,0.7272727272727273
thirdweb-dev/contracts,965,7,0.7253886010362695
SalesforceCommerceCloud/commerce-sdk,138,1,0.7246376811594203
skick1234/DisTube,414,3,0.7246376811594203
public-ui/kolibri,139,1,0.7194244604316548
easypost/easypost-node,139,1,0.7194244604316548
paypal/paypal-checkout-components,1253,9,0.7182761372705506
paypal/paypal-checkout,1253,9,0.7182761372705506
novuhq/novu,33692,242,0.7182713997388104
guibranco/BancosBrasileiros,418,3,0.7177033492822966
Supergiovane/node-red-contrib-knx-ultimate,141,1,0.7092198581560284
TomFrost/Cryptex,141,1,0.7092198581560284
extractus/feed-extractor,144,1,0.6944444444444444
ndaidong/feed-reader,144,1,0.6944444444444444
abandonware/bleno,144,1,0.6944444444444444
devongovett/exif-reader,145,1,0.6896551724137931
AdguardTeam/HostlistCompiler,146,1,0.684931506849315
omridevk/ng-keyboard-shortcuts,146,1,0.684931506849315
drawrowfly/tiktok-scraper,4239,29,0.6841236140599197
himself65/data-viewer,147,1,0.6802721088435374
plainheart/bing-translate-api,147,1,0.6802721088435374
xoidlabs/xoid,147,1,0.6802721088435374
forcedotcom/sfdx-core,147,1,0.6802721088435374
onurkerimov/xoid,147,1,0.6802721088435374
NorthernMan54/homebridge-alexa,442,3,0.6787330316742082
hapijs/basic,148,1,0.6756756756756757
vuestorefront/shopify,148,1,0.6756756756756757
hapijs/hapi-auth-basic,148,1,0.6756756756756757
elsoul/skeet,596,4,0.6711409395973155
decentraland/builder,149,1,0.6711409395973155
voximplant/react-native-foreground-service,150,1,0.6666666666666667
mikestead/lighthouse-batch,150,1,0.6666666666666667
patreon/patreon-js,151,1,0.6622516556291391
Kikobeats/top-user-agents,152,1,0.6578947368421052
random-access-storage/random-access-file,152,1,0.6578947368421052
LironEr/cypress-mochawesome-reporter,152,1,0.6578947368421052
homebridge/homebridge-config-ui-x,2587,17,0.6571318129107073
vercel/ai,8556,56,0.6545114539504442
desktop/registry-js,153,1,0.6535947712418301
MiguelRipoll23/homebridge-securitysystem,153,1,0.6535947712418301
raydium-io/raydium-sdk,307,2,0.6514657980456027
marella/material-design-icons,154,1,0.6493506493506493
DoctorMcKay/node-steamcommunity,464,3,0.646551724137931
warp-contracts/warp,155,1,0.6451612903225806
redstone-finance/redstone-smartweave,155,1,0.6451612903225806
argentlabs/argent-x,621,4,0.644122383252818
walletlink/walletlink,1398,9,0.6437768240343348
coinbase/coinbase-wallet-sdk,1399,9,0.6433166547533953
guhungry/react-native-photo-manipulator,311,2,0.6430868167202572
tryfabric/martian,312,2,0.641025641025641
instantish/martian,312,2,0.641025641025641
ProjectOpenSea/operator-filter-registry,313,2,0.6389776357827476
opentiny/tiny-vue,1410,9,0.6382978723404255
geoastronaute/ngx-monaco-editor,157,1,0.6369426751592357
nodejs-mobile/nodejs-mobile-react-native,157,1,0.6369426751592357
i-like-robots/react-tag-autocomplete,157,1,0.6369426751592357
vmware-clarity/ng-clarity,315,2,0.6349206349206349
solana-labs/solana-pay,1267,8,0.6314127861089187
selemxmn/ngx-print,159,1,0.628930817610063
szrenwei/inline-manifest-webpack-plugin,159,1,0.628930817610063
sneas/ionic-native-http-connection-backend,159,1,0.628930817610063
cloudconvert/cloudconvert-node,159,1,0.628930817610063
Polymer/hydrolysis,159,1,0.628930817610063
supabase/gotrue-js,321,2,0.6230529595015576
iron-fish/ironfish,964,6,0.6224066390041494
react-native-community/react-native-progress-view,161,1,0.6211180124223602
alibaba/lowcode-engine-ext,161,1,0.6211180124223602
nocobase/nocobase,10967,68,0.6200419440138598
daniel-sc/ng-extract-i18n-merge,162,1,0.6172839506172839
hoiheart/vue-diff,162,1,0.6172839506172839
sindresorhus/slash,325,2,0.6153846153846154
GrapesJS/preset-webpage,327,2,0.6116207951070336
pancakeswap/pancake-frontend,2648,16,0.6042296072507553
electron/get,333,2,0.6006006006006006
electron-userland/electron-download,333,2,0.6006006006006006
aspecto-io/opentelemetry-ext-js,167,1,0.5988023952095809
awslabs/cognito-at-edge,168,1,0.5952380952380952
santigimeno/node-pcsclite,168,1,0.5952380952380952
trustwallet/wallet-core,2701,16,0.5923731951129212
freearhey/iptv-checker,507,3,0.591715976331361
lusaxweb/kursor,169,1,0.591715976331361
LinusU/react-native-get-random-values,341,2,0.5865102639296188
celo-org/celo-monorepo,684,4,0.5847953216374269
hirosystems/stacks-blockchain-api,171,1,0.5847953216374269
fontsource/font-files,171,1,0.5847953216374269
ui-router/react,513,3,0.5847953216374269
wumke/react-native-immediate-phone-call,172,1,0.5813953488372093
privatenumber/get-tsconfig,172,1,0.5813953488372093
duongdev/phosphor-react-native,173,1,0.5780346820809248
apibara/starknet-react,347,2,0.5763688760806917
PipedreamHQ/pipedream,8522,49,0.5749823984980051
thanpolas/univ3prices,174,1,0.5747126436781609
validator/grunt-html,174,1,0.5747126436781609
drawrowfly/instagram-scraper,523,3,0.5736137667304015
superfluid-finance/protocol-monorepo,874,5,0.5720823798627002
amadeus4dev/amadeus-node,175,1,0.5714285714285714
afuh/rick-and-morty-api-node,175,1,0.5714285714285714
xDimGG/node-steamapi,175,1,0.5714285714285714
appleple/react-modal-video,176,1,0.5681818181818182
Autodesk/hig,177,1,0.5649717514124294
visionmedia/node-cookie-signature,178,1,0.5617977528089888
flashbots/ethers-provider-flashbots-bundle,534,3,0.5617977528089888
guiqui/react-timeline-gantt,536,3,0.5597014925373134
solana-labs/solana-web3.js,1967,11,0.5592272496187087
theBowja/genshin-db,358,2,0.5586592178770949
vivaxy/gacp,180,1,0.5555555555555556
cypress-io/cypress-skip-test,180,1,0.5555555555555556
themustafaomar/jsvectormap,361,2,0.554016620498615
merdok/homebridge-miot,363,2,0.5509641873278237
celo-org/celo-blockchain,546,3,0.5494505494505495
GrapesJS/preset-newsletter,182,1,0.5494505494505495
ngbracket/ngx-layout,183,1,0.546448087431694
nuxt-modules/algolia,183,1,0.546448087431694
validator/validator,1656,9,0.5434782608695652
teambition/gulp-ssh,184,1,0.5434782608695652
ccxt/ccxt,31902,172,0.5391511503980941
sacmii/rn-vertical-slider,186,1,0.5376344086021506
Orange-OpenSource/Orange-Boosted-Bootstrap,186,1,0.5376344086021506
year-calendar/js-year-calendar,186,1,0.5376344086021506
discordjs/discord.js,25036,134,0.535229269851414
openspacelabs/react-native-zoomable-view,187,1,0.53475935828877
finos/FDC3,187,1,0.53475935828877
uniswap-integration/simple-uniswap-sdk,188,1,0.5319148936170213
ui5-community/ui5-ecosystem-showcase,188,1,0.5319148936170213
blitz-js/next-superjson-plugin,189,1,0.5291005291005291
pnp/sp-dev-fx-controls-react,379,2,0.5277044854881267
ForestAdmin/forest-express-sequelize,190,1,0.5263157894736842
6tail/lunar-typescript,190,1,0.5263157894736842
oracle/netsuite-suitecloud-sdk,190,1,0.5263157894736842
metaplex-foundation/metaplex-program-library,572,3,0.5244755244755245
wealljs/weallbehave,191,1,0.5235602094240838
mcneel/rhino3dm,573,3,0.5235602094240838
solana-labs/solana-program-library,3249,17,0.523237919359803
DevCloudFE/ng-devui,1727,9,0.5211349160393747
dapr/js-sdk,192,1,0.5208333333333333
loafoe/hubot-matteruser,192,1,0.5208333333333333
bwp91/homebridge-ewelink,384,2,0.5208333333333333
near/near-cli,192,1,0.5208333333333333
ForestAdmin/forest-express-mongoose,193,1,0.5181347150259068
posthtml/posthtml-include,194,1,0.5154639175257731
cloudflare/zkp-ecdsa,194,1,0.5154639175257731
semantic-release/github,389,2,0.5141388174807198
majidh1/JalaliDatePicker,390,2,0.5128205128205128
dimforge/rapier.js,390,2,0.5128205128205128
polkadot-js/phishing,196,1,0.5102040816326531
MenuDocs/erela.js,196,1,0.5102040816326531
LouisBrunner/dnd-multi-backend,198,1,0.5050505050505051
azure/azure-sdk-for-js,1981,10,0.5047955577990914
Azure/azure-sdk-for-js,1982,10,0.5045408678102926
scottschiller/SoundManager2,4969,25,0.5031193399074261
Kcnarf/d3-voronoi-treemap,200,1,0.5
css-modules/postcss-icss-values,203,1,0.49261083743842365
css-modules/postcss-modules-constants,203,1,0.49261083743842365
DataDog/dd-trace-js,609,3,0.49261083743842365
WordPress/gutenberg,9985,49,0.49073610415623437
journeyapps/node-sqlcipher,204,1,0.49019607843137253
marcshilling/react-native-idle-timer,205,1,0.4878048780487805
pikasojs/pikaso,205,1,0.4878048780487805
jeddygong/vite-plugin-progress,205,1,0.4878048780487805
andreaswilli/react-verification-input,206,1,0.48543689320388345
AzureAD/microsoft-authentication-library-for-js,3516,17,0.4835039817974972
Alcumus/react-doc-viewer,207,1,0.4830917874396135
henrygd/bigger-picture,207,1,0.4830917874396135
Microsoft/PowerBI-JavaScript,1037,5,0.4821600771456124
mikakaraila/node-red-contrib-opcua,208,1,0.4807692307692308
minutemailer/react-popup,208,1,0.4807692307692308
hoprnet/hoprnet,208,1,0.4807692307692308
zxing-js/ngx-scanner,625,3,0.48
OfficeDev/microsoft-teams-library-js,418,2,0.4784688995215311
DoctorMcKay/node-steam-user,838,4,0.47732696897374705
input-output-hk/cardano-js-sdk,210,1,0.4761904761904762
aws/aws-iot-device-sdk-js-v2,210,1,0.4761904761904762
octokit/webhooks,210,1,0.4761904761904762
eBay/ebayui-core,212,1,0.4716981132075472
hew/react-scroll-horizontal,212,1,0.4716981132075472
ParvinEyvazov/json-translator,424,2,0.4716981132075472
Uniswap/uniswap-v3-core,4252,20,0.4703668861712135
jondavidjohn/payform,426,2,0.4694835680751174
AlexanderRichey/styled-react-modal,213,1,0.4694835680751174
ethereum/remix-project,2352,11,0.467687074829932
Shopify/slate,1284,6,0.46728971962616817
paypal/paypal-js,214,1,0.46728971962616817
Koenkk/zigbee-herdsman-converters,857,4,0.4667444574095682
reslear/tailwind-scrollbar-hide,215,1,0.46511627906976744
cloudflare/collapsify,215,1,0.46511627906976744
polkadot-js/apps,1726,8,0.4634994206257242
rdhox/react-native-smooth-picker,216,1,0.4629629629629629
UrielCh/opencv4nodejs,216,1,0.4629629629629629
delvedor/electron-is,218,1,0.45871559633027525
Orange-OpenSource/hurl,12242,56,0.4574415945107008
MinaProtocol/mina,1970,9,0.4568527918781726
linways/table-to-excel,219,1,0.45662100456621
webtorrent/magnet-uri,219,1,0.45662100456621
idwall/leite,220,1,0.45454545454545453
f5/unovis,1987,9,0.45294413688978363
ChainSafe/lodestar,1106,5,0.45207956600361665
solana-mobile/mobile-wallet-adapter,222,1,0.45045045045045046
node-config/node-config,6225,28,0.4497991967871486
netlify/cli,1557,7,0.44958253050738595
DesignLiquido/delegua,223,1,0.4484304932735426
Greenheart/pagecrypt,223,1,0.4484304932735426
NadavShaar/react-grid-table,225,1,0.4444444444444444
le5le-com/topology.js,681,3,0.4405286343612335
crowdin/crowdin-cli,227,1,0.4405286343612335
editor-js/image,228,1,0.43859649122807015
bitwarden/clients,8677,38,0.4379393799700358
cordobo/angularx-qrcode,457,2,0.437636761487965
codeforequity-at/botium-core,229,1,0.43668122270742354
lens-protocol/lens-sdk,229,1,0.43668122270742354
Emurgo/cardano-serialization-lib,229,1,0.43668122270742354
laggingreflex/win-node-env,229,1,0.43668122270742354
puppeteer/replay,917,4,0.43620501635768816
vuejs/theme,231,1,0.4329004329004329
GouvernementFR/dsfr,231,1,0.4329004329004329
remult/remult,2775,12,0.43243243243243246
aiko-chan-ai/discord.js-selfbot-v13,695,3,0.4316546762589928
mozilla/node-convict,2319,10,0.4312203536006899
Microsoft/pxt-microbit,698,3,0.42979942693409745
aws/awsui-documentation,233,1,0.4291845493562232
garden-io/garden,3290,14,0.425531914893617
Airtable/blocks,235,1,0.425531914893617
keijiro/FaceMeshBarracuda,472,2,0.423728813559322
romeerez/orchid-orm,478,2,0.41841004184100417
sindresorhus/new-github-issue-url,239,1,0.41841004184100417
apache/incubator-kie-tools,239,1,0.41841004184100417
abacus-network/abacus-monorepo,239,1,0.41841004184100417
MetaMask/detect-provider,240,1,0.4166666666666667
