package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
d3-ng2-service,tomwanzek/d3-ng2-service,29859.0,63,7,205,131
image-minimizer-webpack-plugin,webpack-contrib/image-minimizer-webpack-plugin,6014355.0,3,53,220,434
@types/intercom-client,DefinitelyTyped/DefinitelyTyped,1186274.0,2,0,46776,66341
@types/lodash.isstring,DefinitelyTyped/DefinitelyTyped,6456678.0,1,0,46776,66341
@atlaskit/pragmatic-drag-and-drop-live-region,atlassian/pragmatic-drag-and-drop,105747.0,1,10,1057,4
react-native-incall-manager,react-native-webrtc/react-native-incall-manager,248770.0,1,0,526,241
@miksu/react-tiny-popover,alexkatz/react-tiny-popover,368760.0,4,12,426,199
babel-minify-webpack-plugin,webpack-contrib/babel-minify-webpack-plugin,986967.0,4,19,493,90
coinmarketcap-api,tiaanduplessis/coinmarketcap-api,51424.0,2,7,120,62
@types/w3c-web-hid,DefinitelyTyped/DefinitelyTyped,320216.0,0,0,46776,66341
@comunica/actor-rdf-metadata-extract-hydra-controls,comunica/comunica,149623.0,5,0,405,1255
@aws-sdk/client-network-firewall,aws/aws-sdk-js-v3,109889.0,40,7,2801,5575
fetch-intercept,werk85/fetch-intercept,1358094.0,0,25,388,73
@macfja/svelte-persistent-store,macfja/svelte-persistent-store,65925.0,6,29,226,58
heic-convert,catdad-experiments/heic-convert,1239960.0,3,11,196,35
@tsconfig/next,tsconfig/bases,452163.0,0,0,5353,247
babel-plugin-transform-do-expressions,babel/babel,14294155.0,1,1,42821,15604
@sentry/utils,getsentry/sentry-javascript,394647030.0,1,3,7568,10528
@spectrum-css/card,adobe/spectrum-css,180024.0,6,1,1145,2571
@types/mapbox,DefinitelyTyped/DefinitelyTyped,92250.0,1,0,46776,66341
superb,sindresorhus/superb,158869.0,1,3,394,31
@data-driven-forms/mui-component-mapper,data-driven-forms/react-forms,162909.0,14,4,287,1363
es6-promise,stefanpenner/es6-promise,494872974.0,0,24,7301,362
ketcher-standalone,epam/ketcher,92998.0,3,25,402,4146
@vx/network,hshoff/vx,57767.0,6,0,18528,1505
@d3fc/d3fc-shape,d3fc/d3fc,237748.0,1,0,1247,1806
@google-cloud/monitoring,googleapis/google-cloud-node,2703038.0,1,16,2748,5087
@finos/perspective-viewer-datagrid,finos/perspective,84505.0,4,3,7349,2350
@types/svg-intersections,DefinitelyTyped/DefinitelyTyped,36889.0,0,0,46776,66341
