package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
@loki/integration-vue,oblador/loki,2052354.0,2,0,1719,482
@fullcalendar/resource-common,fullcalendar/fullcalendar-scheduler,3646716.0,3,1,701,469
@types/diskspace,DefinitelyTyped/DefinitelyTyped,671642.0,0,0,46776,66341
@pixi/text,pixijs/pixijs,4842273.0,2,0,42131,9511
@lumino/widgets,jupyterlab/lumino,2898466.0,11,25,565,690
react-prism,tomchentw/react-prism,152670.0,2,23,194,88
@hookstate/localstored,avkonst/hookstate,83715.0,1,30,1621,398
screwdriver-api,screwdriver-cd/screwdriver,87823.0,62,21,998,3053
jest-environment-jsdom-global,simon360/jest-environment-jsdom-global,5107430.0,1,3,111,63
@mapbox/tilelive,mapbox/tilelive.js,57635.0,4,8,522,229
@types/testing-library__user-event,testing-library/user-event,616455.0,1,0,2105,1137
@comunica/mediatortype-join-coefficients,comunica/comunica,67910.0,2,0,405,1255
cssnano-util-get-match,cssnano/cssnano,220371919.0,0,2,4599,1567
just-typeof,angus-c/just,194164.0,0,0,5748,577
pidusage,soyuka/pidusage,143544690.0,1,10,497,176
@urql/preact,urql-graphql/urql,23520.0,3,4,8436,2369
gatsby-transformer-javascript-frontmatter,gatsbyjs/gatsby,80816.0,6,4,54975,36115
jsmind,hizzgdev/jsmind,57642.0,0,7,3225,552
@crawlee/memory-storage,apify/crawlee,466380.0,10,0,11699,2129
@kristoferbaxter/kleur,lukeed/kleur,75339.0,0,3,1564,60
@matterlabs/hardhat-zksync-deploy,matter-labs/hardhat-zksync,258248.0,10,21,263,908
ink-big-text,sindresorhus/ink-big-text,296341.0,4,14,110,8
tailwind-bootstrap-grid,karolis-sh/tailwind-bootstrap-grid,163677.0,3,42,162,139
@chakra-ui/pin-input,chakra-ui/chakra-ui,21608430.0,8,3,36203,6647
@fern-api/core-utils,fern-api/fern,425829.0,2,9,2246,3128
react-if,romac/react-if,1601906.0,1,34,1024,343
lodash.ceil,lodash/lodash,28235.0,0,0,58625,5615
mysqldump,assignar/mysqldump,551958.0,4,23,168,134
tinygesture,sciactive/tinygesture,78344.0,0,6,166,11
@semcore/scroll-area,semrush/intergalactic,274480.0,5,2,124,1196
@vaadin/vaadin-crud,vaadin/web-components,520954.0,1,0,385,6429
@aws-cdk/aws-logs,aws/aws-cdk,43548625.0,14,13,11030,28455
ink-table,maticzav/ink-table,2658986.0,3,15,171,276
@putout/plugin-browserlist,coderaiser/putout,362986.0,1,8,642,199
steam-tradeoffer-manager,DoctorMcKay/node-steam-tradeoffer-manager,236621.0,7,0,471,341
@hyperledger/cactus-core,hyperledger/cacti,58383.0,10,4,305,3078
@clerk/backend,clerk/javascript,1277772.0,4,19,788,2921
@ionic-native/onesignal,ionic-team/ionic-native,183081.0,3,0,2360,4704
@types/react-loadable,DefinitelyTyped/DefinitelyTyped,6254103.0,2,0,46776,66341
eva-icons,akveo/eva-icons,1260588.0,0,0,8566,119
agenda,agenda/agenda,4867155.0,6,21,9202,1518
async.eachof,caolan/async,83743.0,4,0,28046,1939
@types/react-color,DefinitelyTyped/DefinitelyTyped,32396333.0,2,0,46776,66341
di,vojtajina/node-di,120934069.0,2,17,266,16
apollo-server-testing,apollographql/apollo-server,5888006.0,2,1,13635,7386
@capawesome/capacitor-file-picker,capawesome-team/capacitor-plugins,241605.0,1,14,136,141
@backstage/plugin-user-settings-backend,backstage/backstage,103218.0,12,4,25846,22385
pdf-puppeteer,westmonroe/pdf-puppeteer,57960.0,1,5,121,65
graphology-layout,graphology/graphology,244263.0,3,0,1127,494
@bitgo/sdk-api,BitGo/BitGoJS,375908.0,17,0,341,4336
node-plantuml,markushedvall/node-plantuml,183552.0,4,4,187,46
@bull-board/koa,felixmosh/bull-board,268571.0,8,5,1937,698
@material/react-ripple,material-components/material-components-web-react,698728.0,5,0,2005,1137
is-reachable,sindresorhus/is-reachable,7048002.0,8,3,371,63
@lion/tooltip,ing-bank/lion,23762.0,2,0,1678,2095
highlight-codemirror,ForbesLindesay/browserify-middleware,30641.0,3,9,381,133
@aws-sdk/client-connectparticipant,aws/aws-sdk-js-v3,181636.0,41,8,2801,5575
@material/react-icon-button,material-components/material-components-web-react,179048.0,4,0,2005,1137
@turf/bbox,Turfjs/turf,43765583.0,3,8,8698,2557
@aws-sdk/client-gamesparks,aws/aws-sdk-js-v3,85805.0,37,8,2801,5575
azure-pipelines-tasks-azure-arm-rest-v2,Microsoft/azure-pipelines-tasks,154234.0,14,2,3373,19584
recursive-diff,cosmicanant/recursive-diff,826951.0,0,10,136,49
faster.js,vzhou842/faster.js,42658.0,1,6,436,8
@aws-sdk/client-devops-guru,aws/aws-sdk-js-v3,94835.0,41,8,2801,5575
@types/through2-concurrent,DefinitelyTyped/DefinitelyTyped,153203.0,2,0,46776,66341
@material-design-icons/svg,marella/material-design-icons,1021642.0,0,1,140,19
featherlight,noelboss/featherlight,324109.0,0,15,2073,428
state-hooks,kripod/react-hooks,24209.0,1,1,556,269
jquery-ui-dist,jquery/jquery-ui,9140357.0,1,18,11212,2173
@sentry/wasm,getsentry/sentry-javascript,176492.0,4,0,7568,10528
@types/es-aggregate-error,DefinitelyTyped/DefinitelyTyped,16038578.0,1,0,46776,66341
globalize,globalizejs/globalize,11681105.0,1,25,4776,940
ora,sindresorhus/ora,876663606.0,9,6,8848,234
eslint-plugin-smells,elijahmanor/eslint-plugin-smells,336692.0,0,5,169,4
@syncfusion/ej2-notifications,syncfusion/ej2-javascript-ui-controls,1430096.0,3,0,381,172
react-native-svg-app-icon,aeirola/react-native-svg-app-icon,52948.0,4,24,172,104
@opensumi/ide-markdown,opensumi/core,123925.0,2,5,2686,3222
@aws-cdk/aws-rds,aws/aws-cdk,7760087.0,22,10,11030,28455
@abp/ng.oauth,abpframework/abp,56366.0,6,0,12077,18829
@s-ui/react-molecule-stepper,SUI-Components/sui-components,24687.0,4,0,135,2527
expo-print,expo/expo,586926.0,1,1,28137,26977
@rest-hooks/use-enhanced-reducer,data-client/rest-hooks,284162.0,1,0,1875,2958
@netlify/cache-utils,netlify/build,4773603.0,8,4,209,5492
vue-mermaid,robin1liu/vue-mermaid,43954.0,1,13,123,30
@covalent/code-editor,teradata/covalent,80351.0,4,0,2237,2106
@types/react-navigation,react-navigation/react-navigation,1160332.0,1,0,23153,11144
draft-js-linkify-plugin,draft-js-plugins/draft-js-plugins,913389.0,6,0,4074,3411
@modern-js/generator-plugin,web-infra-dev/modern.js,400660.0,13,8,4087,5407
@fontsource/lato,fontsource/font-files,1869479.0,0,0,110,62
oi.select,tamtakoe/oi.select,27656.0,2,26,242,136
@material-ui/icons,mui-org/material-ui,62962577.0,5,0,91099,40353
@tensorflow-models/posenet,tensorflow/tfjs-models,196505.0,2,17,13582,1338
koa-onerror,koajs/onerror,3343807.0,2,12,141,37
react-native-switch-toggle,dooboolab/react-native-switch-toggle,183180.0,3,21,126,67
react-toolbox-themr,react-toolbox/react-toolbox-themr,28990.0,12,4,242,69
jstz,iansinnott/jstz,4930007.0,0,11,174,27
@types/plantuml-encoder,DefinitelyTyped/DefinitelyTyped,46020.0,1,0,46776,66341
@types/webcrypto,DefinitelyTyped/DefinitelyTyped,120368.0,0,0,46776,66341
@platformatic/authenticate,platformatic/platformatic,24913.0,8,7,1357,2261
htmlparser2-without-node-native,fb55/htmlparser2,2014338.0,7,5,4246,1776
@plasmohq/parcel-namer-manifest,PlasmoHQ/plasmo,189540.0,4,2,8054,775
@types/hapi__b64,DefinitelyTyped/DefinitelyTyped,29900.0,1,0,46776,66341
@types/defined,DefinitelyTyped/DefinitelyTyped,555938.0,0,0,46776,66341
suneditor-react,mkhstar/suneditor-react,819108.0,3,24,408,352
rpi-gpio,JamesBarwell/rpi-gpio.js,34657.0,3,3,652,120
ml-matrix,mljs/matrix,11191114.0,2,17,335,185
jss-preset-default,cssinjs/jss,14316876.0,14,0,7045,1606
turbo-windows-arm64,vercel/turbo,17541404.0,0,0,24500,6703
babel-preset-solid,solidjs/solid,2950134.0,2,0,30695,1324
react-fetch,zackify/react-fetch,236350.0,1,0,119,9
@canopycanopycanopy/b-ber-cli,triplecanopy/b-ber,21944.0,11,7,114,173
uri-scheme,expo/expo,457016.0,0,10,28137,26977
@nuxthq/ui-edge,nuxtlabs/ui,137929.0,19,12,2956,1500
@types/mojang-minecraft,DefinitelyTyped/DefinitelyTyped,1303096.0,0,0,46776,66341
@waylaidwanderer/chatgpt-api,waylaidwanderer/node-chatgpt-api,80272.0,18,5,4157,452
@googleapis/sheets,googleapis/google-api-nodejs-client,2456522.0,1,8,11104,3369
@types/carbon-components-react,DefinitelyTyped/DefinitelyTyped,745963.0,2,0,46776,66341
@syncfusion/ej2-angular-base,syncfusion/ej2-angular-ui-components,2287878.0,7,0,272,263
garlicjs,guillaumepotier/Garlic.js,35032.0,1,3,2367,135
@inertiajs/inertia-react,inertiajs/inertia,412325.0,3,8,5661,1233
@types/vision,DefinitelyTyped/DefinitelyTyped,124241.0,1,0,46776,66341
paypal-checkout,paypal/paypal-checkout,671320.0,11,17,1236,921
@amcharts/amcharts5-fonts,amcharts/amcharts5,228684.0,0,0,288,1403
alge,jasonkuhrt/alge,146809.0,4,30,106,444
darkmode-js,sandoche/Darkmode.js,48191.0,0,23,2696,104
@storybook/native-controllers,storybookjs/native,42277.0,11,0,176,93
ng-toast,tameraydin/ngToast,173462.0,2,22,327,99
@types/qtip2,DefinitelyTyped/DefinitelyTyped,93844.0,1,0,46776,66341
@fluentui/react-northstar-fela-renderer,microsoft/fluentui,817080.0,17,6,17496,30035
xmldom,xmldom/xmldom,126786962.0,0,13,313,616
react-text-truncate,ShinyChang/react-text-truncate,3048416.0,3,19,323,113
@types/vk-openapi,DefinitelyTyped/DefinitelyTyped,21899.0,0,0,46776,66341
@types/urlsafe-base64,DefinitelyTyped/DefinitelyTyped,563358.0,1,0,46776,66341
@aws-amplify/amplify-category-auth,aws-amplify/amplify-cli,1111491.0,22,6,2781,12172
jp.keijiro.mediapipe.iris,keijiro/IrisBarracuda,75932.0,2,0,118,1
dirty-json,RyanMarcus/dirty-json,321332.0,3,3,206,41
@types/loader-runner,DefinitelyTyped/DefinitelyTyped,2508557.0,1,0,46776,66341
@form-create/iview,xaboy/form-create,23345.0,10,5,5409,682
react-force-graph-2d,vasturiano/react-force-graph,421703.0,4,2,1850,500
rateyo,prrashi/rateYo,49159.0,0,11,356,102
restore,jcoglan/restore,31693.0,5,2,294,46
react-draft-wysiwyg,jpuri/react-draft-wysiwyg,12001769.0,9,44,6322,1398
esbuild-wasm,evanw/esbuild,116555111.0,0,0,36971,3662
vue-sweetalert2,avil13/vue-sweetalert2,2444815.0,2,7,635,153
vuetify-audio,wilsonwu/vuetify-audio,28361.0,0,9,138,17
vue3-persian-datetime-picker,talkhabi/vue3-persian-datetime-picker,28062.0,1,16,134,25
@web-types/vuetify,JetBrains/web-types,231543.0,0,0,273,78
vue-pose,Popmotion/popmotion,71614.0,4,7,19745,961
@syncfusion/ej2-angular-progressbar,syncfusion/ej2-angular-ui-components,141137.0,4,0,272,263
@graphql-tools/delegate,ardatan/graphql-tools,167339645.0,7,0,5273,5740
lodash.startswith,lodash/lodash,15763412.0,0,0,58625,5615
vuex-persist,championswimmer/vuex-persist,3907681.0,3,19,1672,268
pdftohtmljs,fagbokforlaget/pdftohtmljs,46597.0,0,2,144,38
zoningjs,netnr/zoning,283854.0,0,0,132,1
@nextui-org/radio,nextui-org/nextui,114021.0,15,0,18670,2023
gitmojis,carloscuesta/gitmoji,1623621.0,0,5,15093,1704
vue-style-loader,vuejs/vue-style-loader,107063912.0,2,5,226,61
blob-stream,devongovett/blob-stream,9031756.0,1,1,114,7
gitbook-plugin-theme-default,GitbookIO/theme-default,161448.0,0,11,196,80
react-media,ReactTraining/react-media,6444372.0,5,32,2447,160
@subsquid/util-internal-code-printer,subsquid/squid,51377.0,0,2,1140,250
@vegardit/prisma-generator-nestjs-dto,vegardit/prisma-generator-nestjs-dto,71309.0,6,14,246,261
@comunica/actor-dereference-fallback,comunica/comunica,65298.0,2,0,405,1255
@react-pdf-viewer/drop,react-pdf-viewer/react-pdf-viewer,70396.0,3,0,1977,1737
i18n-js,fnando/i18n,12346982.0,3,19,129,87
@types/libsodium-wrappers,DefinitelyTyped/DefinitelyTyped,3217034.0,0,0,46776,66341
lodash.defaultto,lodash/lodash,1567522.0,0,0,58625,5615
use-mui,CharlesStover/use-mui,21819.0,3,31,140,4
@welcome-ui/date-picker,WTTJ/welcome-ui,22749.0,7,0,589,2425
mongodb-queue,chilts/mongodb-queue,62829.0,0,3,207,51
rollup-plugin-purgecss,FullHuman/purgecss,71676.0,2,0,7631,1191
lodash-decorators,steelsojka/lodash-decorators,5219369.0,2,18,727,82
remix-validated-form,airjp73/remix-validated-form,781580.0,11,9,738,230
radio,uxder/Radio,26232.0,0,0,354,19
@types/react-data-grid,DefinitelyTyped/DefinitelyTyped,439435.0,2,0,46776,66341
@bytecodealliance/preview2-shim,bytecodealliance/jco,45945.0,0,1,442,403
@wordpress/core-data,WordPress/gutenberg,1346618.0,24,0,9755,59167
lodash.camelcase,lodash/lodash,473564784.0,0,0,58625,5615
@elastic/react-search-ui-views,elastic/search-ui,898498.0,6,16,1863,1016
react-router-redux,reactjs/react-router-redux,14122650.0,4,22,7829,637
polyfills-loader,open-wc/open-wc,403832.0,15,3,2188,2741
machine,node-machine/machine,3276123.0,5,5,143,39
@envelop/opentelemetry,n1ru4l/envelop,223320.0,6,0,752,2098
@nativescript/schematics,nativescript/nativescript-schematics,89414.0,6,9,186,329
motion-ui,foundation/motion-ui,2013445.0,1,32,1150,149
@putout/plugin-convert-for-to-for-of,coderaiser/putout,343599.0,1,8,642,199
graphql-query-rewriter,ef-eng/graphql-query-rewriter,38215.0,1,38,406,54
firebase,firebase/firebase-js-sdk,72184306.0,26,12,4695,7743
@xmpp/streamparser,node-xmpp/node-xmpp,3084192.0,3,0,2164,954
@types/gulp-minify,DefinitelyTyped/DefinitelyTyped,69853.0,1,0,46776,66341
@types/pouchdb-browser,DefinitelyTyped/DefinitelyTyped,935537.0,6,0,46776,66341
schart.js,lin-xin/schart.js,38054.0,0,9,125,21
md5,pvorb/node-md5,296222601.0,3,2,890,76
h-include,gustafnk/h-include,26075.0,0,7,239,101
@hookstate/initial,avkonst/hookstate,33486.0,3,28,1621,398
react-native-spinkit,maxs15/react-native-spinkit,458378.0,1,0,2343,144
@algolia/autocomplete-shared,algolia/autocomplete,17438010.0,2,2,4705,1090
overload-protection,davidmarkclements/overload-protection,620338.0,1,8,199,11
@workday/canvas-kit-css-layout,Workday/canvas-kit,126684.0,1,0,286,2600
webuploader,fex-team/webuploader,21578.0,0,13,7699,3185
react-native-scripts,react-community/create-react-native-app,64653.0,4,11,13222,916
react-cursor-position,ethanselzer/react-cursor-position,2322554.0,4,26,144,43
@semcore/illustration,semrush/intergalactic,143663.0,5,4,124,1196
steamcommunity,DoctorMcKay/node-steamcommunity,270248.0,9,0,452,327
react-locomotive-scroll,toinelin/react-locomotive-scroll,70934.0,4,14,159,51
entities,fb55/entities,2199863056.0,0,12,300,1425
@awesome-cordova-plugins/streaming-media,danielsogl/awesome-cordova-plugins,44864.0,3,0,2360,4704
react-native-typography,hectahertz/react-native-typography,285948.0,2,5,3380,59
@opentelemetry/plugin-mysql,open-telemetry/opentelemetry-js-contrib,98804.0,3,20,581,2000
@teambit/isolator,teambit/bit,354392.0,30,8,17437,8489
@ks89/angular-modal-gallery,Ks89/angular-modal-gallery,149742.0,6,0,143,268
@thi.ng/hex,thi-ng/umbrella,5056587.0,0,5,3179,435
@types/get-folder-size,DefinitelyTyped/DefinitelyTyped,147842.0,1,0,46776,66341
express-mongo-sanitize,fiznool/express-mongo-sanitize,2630152.0,0,9,202,193
shifty,jeremyckahn/shifty,2538410.0,1,33,1525,168
redux-freeze,buunguyen/redux-freeze,903004.0,1,6,214,8
@types/iarna__toml,DefinitelyTyped/DefinitelyTyped,280218.0,1,0,46776,66341
brace,thlorenz/brace,14297685.0,0,5,1052,198
@jimp/plugins,jimp-dev/jimp,66768673.0,23,0,13316,1270
d3-time,d3/d3-time,266642564.0,1,4,229,65
storyblok-react,storyblok/storyblok-react,653545.0,2,8,108,996
@stacks/ui,blockstack/ux,25899.0,24,17,277,4976
react-translate-component,martinandert/react-translate-component,104471.0,6,11,321,44
vers,TomFrost/Vers,24241.0,0,6,119,13
@mockoon/commons-server,mockoon/mockoon,515939.0,19,20,5763,1020
@hint/parser-typescript-config,webhintio/hint,1832646.0,5,17,3586,5677
lodash.mapvalues,lodash/lodash,109715969.0,0,0,58625,5615
@types/array-move,sindresorhus/array-move,160322.0,1,0,385,30
callsite-record,inikulin/source-frame,23661192.0,7,3,156,44
rifm,istarkov/rifm,75984199.0,1,37,1296,138
@teambit/harmony.modules.resolved-component,teambit/bit,22863.0,0,4,17437,8489
vue-disqus,ktquez/vue-disqus,143736.0,1,18,253,104
@abandonware/bleno,abandonware/bleno,30199.0,3,4,141,50
@backstage/plugin-catalog-backend-module-azure,backstage/backstage,167068.0,10,4,25846,22385
3d-force-graph,vasturiano/3d-force-graph,676299.0,5,12,4214,670
@node-rs/xxhash-linux-arm64-musl,napi-rs/node-rs,1302215.0,0,0,945,802
animate-css-grid,aholachek/animate-css-grid,258475.0,5,7,1341,85
@theia/editor-preview,eclipse-theia/theia,214881.0,4,1,18751,12613
@sapphire/stopwatch,sapphiredev/utilities,229821.0,1,9,143,724
@types/request-ip,DefinitelyTyped/DefinitelyTyped,7443005.0,1,0,46776,66341
@zag-js/rating,chakra-ui/zag,33815.0,3,3,3551,1260
@esy-ocaml/reason,facebook/reason,52908.0,8,2,10036,2718
datepair.js,jonthornton/Datepair.js,338113.0,0,5,358,141
@truffle/code-utils,trufflesuite/truffle,1043608.0,1,6,14011,5904
use-unmount-signal,expo/use-unmount-signal,37186.0,0,9,289,2
trpc,vriad/trpc,40467.0,1,13,32084,4789
@lukaskl/absinthe_socket-apollo-link,absinthe-graphql/absinthe-socket,72599.0,7,1,147,66
@serialport/parser-slip-encoder,serialport/node-serialport,1563515.0,0,1,5665,2655
doctrine,eslint/doctrine,2475707205.0,1,12,455,227
@ionic-native/native-storage,ionic-team/ionic-native,162813.0,3,0,2360,4704
mdx-loader,frontarm/mdx-util,248930.0,23,0,711,100
@agoric/access-token,Agoric/agoric-sdk,350026.0,3,2,294,8879
opentelemetry-instrumentation-aws-sdk,aspecto-io/opentelemetry-ext-js,152097.0,5,17,166,260
@ethersproject/abi,ethers-io/ethers.js,56258915.0,9,0,7354,3106
@types/ip6addr,DefinitelyTyped/DefinitelyTyped,177922.0,0,0,46776,66341
@tsed/platform-koa,tsedio/tsed,71662.0,20,24,2705,2503
@turf/polygon-to-line,Turfjs/turf,17613700.0,3,10,8698,2557
@aws-sdk/client-billingconductor,aws/aws-sdk-js-v3,85964.0,41,8,2801,5575
@types/cldrjs,DefinitelyTyped/DefinitelyTyped,1407504.0,0,0,46776,66341
react-native-default-preference,kevinresol/react-native-default-preference,633806.0,1,0,214,69
winser,jfromaniello/winser,262857.0,2,0,271,52
azure-scheduler,Azure/azure-sdk-for-node,363099.0,2,0,1187,5209
react-native-safe-area,miyabi/react-native-safe-area,368307.0,1,9,113,40
@docusaurus/utils-common,facebook/docusaurus,8686987.0,2,0,51991,8768
@ionic-native/push,ionic-team/ionic-native,186300.0,3,0,2360,4704
json-schema-ref-parser-alt,APIDevTools/json-schema-ref-parser,92251.0,3,17,889,336
generact,diegohaz/generact,23616.0,9,17,1481,28
react-native-looped-carousel,phil-r/react-native-looped-carousel,49463.0,4,12,1494,488
@hyperledger/fabric-gateway,hyperledger/fabric-gateway,105458.0,6,18,130,647
@types/mailgen,DefinitelyTyped/DefinitelyTyped,128678.0,0,0,46776,66341
nuxt-graphql-request,Gomah/nuxt-graphql-request,163030.0,7,29,184,60
@tramvai/test-puppeteer,Tinkoff/tramvai,49775.0,7,2,223,13
@progress/kendo-theme-nouvelle,telerik/kendo-themes,51007.0,3,0,143,4847
@commercetools-uikit/date-field,commercetools/ui-kit,149173.0,15,1,144,2733
@tensorflow-models/body-pix,tensorflow/tfjs-models,1026841.0,3,20,13582,1338
@aurelia/metadata,aurelia/aurelia,123716.0,0,1,1340,1919
tempusdominus-bootstrap-4,tempusdominus/bootstrap-4,2304068.0,11,21,611,389
slate-react,ianstormtaylor/slate,21025081.0,12,12,28792,5449
space-lift,AlexGalays/spacelift,53476.0,0,7,141,34
@nuxt/vue-app-edge,nuxt/nuxt.js,839644.0,10,0,51055,19465
@nuxtjs/workbox,nuxt-community/pwa-module,152527.0,2,0,1217,545
react-navigation-tabs,react-navigation/tabs,2787850.0,10,12,326,74
@analogjs/trpc,analogjs/analog,21776.0,7,0,2028,927
@pixi/math,pixijs/pixijs,5631528.0,0,0,42131,9511
@mcansh/remix-fastify,mcansh/remix-fastify,36322.0,4,7,141,297
@delon/chart,ng-alain/delon,60917.0,6,0,669,1593
emojisplosion,joshuakgoldberg/emojisplosion,244161.0,0,11,132,185
@nlpjs/lang-it,axa-group/nlp.js,455489.0,1,0,6032,1368
combined-stream,felixge/node-combined-stream,1676637773.0,1,1,141,51
@pothos/plugin-tracing,hayes/pothos,173222.0,2,4,2199,981
@dollarshaveclub/cloudworker,dollarshaveclub/cloudworker,22489.0,10,12,518,173
iink-js,MyScript/iinkJS,41956.0,9,31,131,26
@backstage/plugin-explore-backend,backstage/backstage,99031.0,13,4,25846,22385
@geist-ui/react,geist-org/geist-ui,126511.0,3,51,4172,757
@libp2p/peer-collections,libp2p/js-libp2p,434963.0,2,5,2200,2406
@spectrum-web-components/progress-circle,adobe/spectrum-web-components,53696.0,2,1,1141,4122
unimported,smeijer/unimported,3127475.0,17,25,1966,200
@pulumi/azure,pulumi/pulumi-azure,404818.0,8,3,132,1842
reg-notify-slack-plugin,reg-viz/reg-suit,386284.0,1,2,1121,684
recyclerlistview,Flipkart/recyclerlistview,9433700.0,5,8,5105,776
password-hash,davidwood/node-password-hash,1257443.0,0,2,154,18
angular-mentions,dmacfarlane/angular-mentions,995880.0,3,0,191,248
photon,Automattic/wp-calypso,83931.0,4,0,12334,87258
nest-keycloak-connect,ferrerojosh/nest-keycloak-connect,759634.0,4,22,281,180
@fluentui-react-native/theming-utils,microsoft/fluentui-react-native,55486.0,5,8,1146,3477
@aws-sdk/client-timestream-write,aws/aws-sdk-js-v3,1334664.0,42,8,2801,5575
shopify-api-node,MONEI/Shopify-api-node,2585160.0,4,12,925,647
tencentcloud-sdk-nodejs-tic,tencentcloud/tencentcloud-sdk-nodejs,68362.0,1,10,345,147
@xstate/react,statelyai/xstate,29595051.0,4,10,25922,3453
assert-browserify,browserify/commonjs-assert,364884.0,4,10,294,61
lodash.add,lodash/lodash,107382.0,0,0,58625,5615
@types/engine.io,DefinitelyTyped/DefinitelyTyped,4888380.0,1,0,46776,66341
@bugsnag/plugin-react-navigation,bugsnag/bugsnag-js,340223.0,2,7,820,2093
express-session,expressjs/session,83819506.0,8,8,6149,767
@smithy/middleware-serde,awslabs/smithy-typescript,38713420.0,2,6,184,1207
vue-amap,ElemeFE/vue-amap,169341.0,1,69,3314,700
@types/angular-ui-bootstrap,DefinitelyTyped/DefinitelyTyped,2167475.0,1,0,46776,66341
linear-algebra,hiddentao/linear-algebra,24344.0,0,16,161,31
@steedos/plugin-company,steedos/object-server,66239.0,0,0,1246,6316
@types/js-sha1,DefinitelyTyped/DefinitelyTyped,23196.0,0,0,46776,66341
@chakra-ui/icon,chakra-ui/chakra-ui,29140852.0,3,4,36203,6647
ethereum-abi-types-generator,joshstevens19/ethereum-abi-types-generator,136599.0,10,9,159,67
@metamask/preferences-controller,MetaMask/core,37800.0,3,10,232,2539
@aws-cdk/aws-fms,aws/aws-cdk,404378.0,4,5,11030,28455
node-opcua-data-access,node-opcua/node-opcua,508185.0,2,2,1404,1350
react-native-photo-editor,prscX/react-native-photo-editor,82951.0,0,4,1102,234
@opentelemetry/api,open-telemetry/opentelemetry-js,244499597.0,0,26,2401,4217
georedis,arjunmehta/node-georedis,46564.0,2,9,192,51
it-parallel,achingbrain/it,532924.0,1,3,264,122
@github/include-fragment-element,github/include-fragment-element,371810.0,0,11,518,94
@usedapp/testing,TrueFiEng/useDApp,34974.0,7,15,1549,1140
@gnosis.pm/safe-apps-web3modal,gnosis/safe-apps-sdk,49373.0,3,3,214,535
@commercetools-uikit/creatable-select-input,commercetools/ui-kit,136309.0,17,3,144,2733
elm-tailwind-modules,matheus23/elm-tailwind-modules,27542.0,11,22,116,29
@types/server-destroy,DefinitelyTyped/DefinitelyTyped,531757.0,1,0,46776,66341
react-native-detector,AzizAK/react-native-detector,301328.0,2,19,197,72
vue-axios,imcvampire/vue-axios,5760201.0,2,14,2013,162
mui-rte,niuware/mui-rte,714897.0,9,21,424,347
@types/memory-fs,DefinitelyTyped/DefinitelyTyped,4487418.0,1,0,46776,66341
live2d-widget-model-nipsilon,xiazeyu/live2d-widget-models,27197.0,0,0,1353,13
@types/autocannon,DefinitelyTyped/DefinitelyTyped,424287.0,1,0,46776,66341
@arr/some,lukeed/arr,27766.0,0,0,255,10
@momentum-ui/utils,momentum-design/momentum-ui,118919.0,9,3,185,1549
@types/is-finite,DefinitelyTyped/DefinitelyTyped,372227.0,0,0,46776,66341
@microsoft/bf-cli-config,microsoft/botframework-cli,66900.0,7,15,167,1355
clipboard,zenorocha/clipboard.js,96873575.0,3,25,33735,853
gulp-eslint,adametry/gulp-eslint,8120155.0,3,8,565,270
@jsreport/jsreport-child-templates,jsreport/jsreport,42967.0,2,7,1123,1119
@shopify/dates,Shopify/quilt,6751807.0,1,1,1644,2699
angular1-text-mask,text-mask/text-mask,51321.0,0,0,8250,1087
jpush-react-native,jpush/jpush-react-native,23809.0,2,0,1339,937
@modern-js/bff-runtime,web-infra-dev/modern.js,455767.0,4,7,4087,5407
ngreact,davidchang/ngReact,1138511.0,3,23,2611,225
react-scrollama,jsonkao/react-scrollama,125556.0,3,15,373,103
@cliqz/adblocker-extended-selectors,cliqz-oss/adblocker,2815199.0,0,14,724,3826
remark-react,remarkjs/remark-react,1966998.0,7,18,523,70
react-native-iphone-x-helper,ptelad/react-native-iphone-x-helper,21174156.0,1,0,942,51
redux-axios-middleware,svrcekmichal/redux-axios-middleware,861142.0,1,19,918,131
vue-3-meta,nuxt/vue-meta,23707.0,1,61,4058,811
@builder.io/email,BuilderIO/builder,43072.0,6,36,6510,3033
jest-snapshot,jestjs/jest,1118015974.0,21,14,43399,14852
polyline,mapbox/polyline,1131980.0,0,2,624,87
@clerk/clerk-sdk-node,clerk/javascript,1415629.0,4,10,788,2921
@contentful/field-editor-location,contentful/field-editors,208400.0,9,1,144,1623
@semcore/dot,semrush/intergalactic,254235.0,7,5,124,1196
@bbob/react,JiLiZART/bbob,69035.0,5,5,156,201
@backstage/plugin-sonarqube,backstage/backstage,359121.0,16,8,25846,22385
jquery-mask-plugin,igorescobar/jQuery-Mask-Plugin,2713531.0,0,9,4740,791
lodash._basefilter,lodash/lodash,1457631.0,1,0,58625,5615
@react-native-community/async-storage,react-native-community/react-native-async-storage,5552414.0,3,23,4490,1003
@react-native-community/bob,callstack/react-native-builder-bob,581411.0,23,25,2578,421
tarn,vincit/tarn.js,76478464.0,0,13,447,79
otplib,yeojz/otplib,14077242.0,3,0,1837,703
@udecode/plate-ui-emoji,udecode/plate,436699.0,12,0,7316,2428
react-native-calendars,wix/react-native-calendars,5830198.0,8,42,9101,2423
codesandbox-api,codesandbox/codesandbox-client,829025.0,0,30,12837,7989
ngx-tour-core,isaacplmann/ngx-tour,109723.0,5,0,239,284
@types/webpack-stats-plugin,DefinitelyTyped/DefinitelyTyped,323406.0,1,0,46776,66341
