repo_id,repo_name,actor,starred_at,fake_acct
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,MuhammedOkmen,2024-03-22 01:57:16 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,theabundancemaster,2024-03-08 20:47:02 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,enes414106,2024-03-12 17:09:15 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,menez,2024-03-08 14:09:31 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,asligozde,2024-03-08 20:30:05 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,asd27A,2024-03-08 08:33:19 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Cete23,2024-03-08 20:33:47 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,alaguneymahmut,2024-03-08 13:40:14 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,CadillacJackk,2024-03-08 20:39:49 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,hakunen,2024-03-08 20:30:46 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Bybiyik58,2024-03-22 11:55:13 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,DM-Marcellus,2024-03-03 13:33:32 UTC,suspected-activity_cluster
MDEwOlJlcG9zaXRvcnkyNTU0NjA2MTk=,holochain/holochain-client-js,Alp52,2024-03-12 14:45:03 UTC,suspected-activity_cluster
