repo_id,repo_name,n_stars,n_stars_latest,n_stars_low_activity,p_stars_low_activity,n_stars_clustered,p_stars_clustered,p_stars_fake,active_days,tags,description
MDEwOlJlcG9zaXRvcnkxMzQzNDQ3MDY=,harmony-one/harmony,1440.0,1464.0,415.0,0.2881944444444444,0.0,0.0,0.2881944444444444,1920.0,"['harmony', 'consensus', 'blockchain', 'distributed-ledger-technology', 'pbft', 'harmony-protocol', 'bls', 'sharding', 'proof-of-stake']",The core protocol of harmony
R_kgDOHnRv7A,kosaka-bun/honoka-sdk,383.0,327.0,0.0,0.0,107.0,0.2793733681462141,0.2793733681462141,819.0,"['dependency', 'gradle', 'java', 'maven', 'tools', 'utilities', 'kotlin']",Java与Kotlin开发实用工具包
R_kgDOIBGfiw,childrentime/reactuse,1031.0,1168.0,0.0,0.0,281.0,0.2725509214354995,0.2725509214354995,745.0,"['react', 'reacthooks', 'reactuse', 'utility-library']",Collection of essential React Hooks Utilities.
R_kgDOGZEZ0Q,matter-labs/hardhat-zksync,283.0,281.0,0.0,0.0,77.0,0.27208480565371024,0.27208480565371024,1022.0,[],
R_kgDOIkv6UQ,abess-team/skscope,310.0,304.0,0.0,0.0,84.0,0.2709677419354839,0.2709677419354839,413.0,"['python', 'sparsity-optimization', 'scikit-learn', 'nonlinear-optimization', 'auto-differentiation', 'jax', 'non-convex-optimization']",skscope: Sparse-Constrained OPtimization via itErative-solvers
MDEwOlJlcG9zaXRvcnkxNzEyNjg1MDA=,Adamant-im/adamant-currencyinfo-services,284.0,258.0,0.0,0.0,75.0,0.2640845070422535,0.2640845070422535,1882.0,"['exchange', 'crypto', 'cryptocurrency', 'coingecko', 'coinmarketcap', 'cryptocompare', 'ticker', 'rate', 'exchange-rate', 'moex', 'fiat', 'money', 'usd', 'eur', 'cny', 'jpy', 'rub', 'btc', 'eth', 'blockchain']","Self-hosted crypto and fiat currency rates service provider. MOEX, Currency-Api, ExchangeRate.host, Coinmarketcap, CryptoCompare and Coingecko."
MDEwOlJlcG9zaXRvcnkyMDc3OTg3MjU=,TorchEnsemble-Community/Ensemble-Pytorch,825.0,1060.0,0.0,0.0,213.0,0.2581818181818182,0.2581818181818182,1232.0,"['pytorch', 'pytorch-tutorial', 'ensemble-learning', 'ensemble', 'deeplearning', 'neural-networks', 'deep-learning', 'gradient-boosting', 'voting-classifier', 'bagging']",A unified ensemble framework for PyTorch to improve the performance and robustness of your deep learning model.
R_kgDOLThh8w,harambeai/Harambe-AI-Token,870.0,15.0,0.0,0.0,222.0,0.25517241379310346,0.25517241379310346,136.0,[],Solidity contract belonging to the Harambe AI Token
R_kgDOLJm3ew,xuchengsheng/wx-dump-4j,1006.0,1351.0,0.0,0.0,250.0,0.2485089463220676,0.2485089463220676,250.0,"['java', 'jna', 'spring', 'springboot', 'wechat']",一款基于Java开发的微信数据分析工具。
R_kgDOKk2iLA,LLOneBot/LLOneBot,1125.0,1579.0,0.0,0.0,275.0,0.24444444444444444,0.24444444444444444,217.0,"['onebot', 'onebot11', 'llonebot', 'llob', 'qqbot', 'satori']",使你的 NTQQ 支持 OneBot 11 和 Satori 协议进行机器人开发
