repo,month,n_stars,n_clustered_stars
Exrick/xmall,2019-09,36,0
Exrick/xmall,2019-10,38,0
Exrick/xmall,2019-11,49,0
Exrick/xmall,2019-12,57,0
Foair/course-crawler,2019-07,12,0
Foair/course-crawler,2019-08,6,0
Foair/course-crawler,2019-09,5,0
Foair/course-crawler,2019-10,4,0
Foair/course-crawler,2019-11,8,0
Foair/course-crawler,2019-12,5,0
FreeTubeApp/FreeTube,2019-07,13,0
FreeTubeApp/FreeTube,2019-08,20,0
FreeTubeApp/FreeTube,2019-09,12,0
FreeTubeApp/FreeTube,2019-10,14,0
FreeTubeApp/FreeTube,2019-11,23,0
FreeTubeApp/FreeTube,2019-12,14,0
FreeTubeApp/FreeTube,2020-01,3,0
GitHubDaily/GitHubDaily,2019-07,231,0
GitHubDaily/GitHubDaily,2019-08,59,0
GitHubDaily/GitHubDaily,2019-09,58,0
GitHubDaily/GitHubDaily,2019-10,28,0
GitHubDaily/GitHubDaily,2019-11,34,0
GitHubDaily/GitHubDaily,2019-12,91,0
GitHubDaily/GitHubDaily,2020-01,39,0
HabitRPG/habitica,2019-07,28,0
HabitRPG/habitica,2019-08,49,0
HabitRPG/habitica,2019-09,36,0
HabitRPG/habitica,2019-10,27,0
HabitRPG/habitica,2019-11,28,0
HabitRPG/habitica,2019-12,22,0
HabitRPG/habitica,2020-01,1,0
Hack-with-Github/Awesome-Hacking,2019-07,192,0
Hack-with-Github/Awesome-Hacking,2019-08,212,0
Hack-with-Github/Awesome-Hacking,2019-09,192,0
Hack-with-Github/Awesome-Hacking,2019-10,204,0
Hack-with-Github/Awesome-Hacking,2019-11,252,0
Hack-with-Github/Awesome-Hacking,2019-12,711,0
Hack-with-Github/Awesome-Hacking,2020-01,8,0
Holo-Host/hpos-config,2019-12,1,0
IammyselfYBX/NCEPU_CS_course,2019-11,2,0
ImageOptim/gifski,2019-07,12,0
ImageOptim/gifski,2019-08,26,0
ImageOptim/gifski,2019-09,25,0
ImageOptim/gifski,2019-10,22,0
ImageOptim/gifski,2019-11,13,0
ImageOptim/gifski,2019-12,6,0
ImageOptim/gifski,2020-01,2,0
LesterCovax/crypto-sheets,2019-10,1,0
Mantle/Mantle,2019-07,6,0
Mantle/Mantle,2019-08,7,0
Mantle/Mantle,2019-09,7,0
Mantle/Mantle,2019-10,4,0
Mantle/Mantle,2019-11,6,0
Mantle/Mantle,2019-12,7,0
MetaMask/faq,2019-07,3,0
MetaMask/faq,2019-08,3,0
MetaMask/faq,2019-09,5,0
MetaMask/faq,2019-10,4,0
MetaMask/faq,2019-11,4,0
MetaMask/faq,2019-12,6,0
MetaMask/metamask-docs,2019-07,2,0
MetaMask/metamask-docs,2019-08,2,0
MetaMask/metamask-docs,2019-10,1,0
MunGell/awesome-for-beginners,2019-07,173,0
MunGell/awesome-for-beginners,2019-08,176,0
MunGell/awesome-for-beginners,2019-09,267,0
MunGell/awesome-for-beginners,2019-10,443,0
MunGell/awesome-for-beginners,2019-11,206,0
MunGell/awesome-for-beginners,2019-12,188,0
MunGell/awesome-for-beginners,2020-01,3,0
NixOS/nixpkgs,2019-07,40,0
NixOS/nixpkgs,2019-08,46,0
NixOS/nixpkgs,2019-09,44,0
NixOS/nixpkgs,2019-10,38,0
NixOS/nixpkgs,2019-11,44,0
NixOS/nixpkgs,2019-12,33,0
NixOS/nixpkgs,2020-01,2,0
OpenRefine/OpenRefine,2019-07,32,0
OpenRefine/OpenRefine,2019-08,32,0
OpenRefine/OpenRefine,2019-09,35,0
OpenRefine/OpenRefine,2019-10,33,0
OpenRefine/OpenRefine,2019-11,28,0
OpenRefine/OpenRefine,2019-12,22,0
OpenRefine/OpenRefine,2020-01,1,0
Overcoat/Overcoat,2019-07,1,0
Overcoat/Overcoat,2019-11,1,0
ParadeTo/vue-tree-list,2019-07,5,0
ParadeTo/vue-tree-list,2019-08,4,0
ParadeTo/vue-tree-list,2019-09,2,0
ParadeTo/vue-tree-list,2019-12,4,0
PowerShell/PowerShell,2019-07,213,0
PowerShell/PowerShell,2019-08,171,0
PowerShell/PowerShell,2019-09,180,0
PowerShell/PowerShell,2019-10,182,0
PowerShell/PowerShell,2019-11,127,0
PowerShell/PowerShell,2019-12,136,0
PowerShell/PowerShell,2020-01,4,0
Romain-P/Guinness-Bot,2019-11,4,0
Ryujinx/Ryujinx,2019-07,12,0
Ryujinx/Ryujinx,2019-08,15,0
Ryujinx/Ryujinx,2019-09,12,0
Ryujinx/Ryujinx,2019-10,12,0
Ryujinx/Ryujinx,2019-11,19,0
Ryujinx/Ryujinx,2019-12,14,0
SlimeKnights/Mantle,2019-07,2,0
SlimeKnights/Mantle,2019-08,1,0
SlimeKnights/Mantle,2019-11,1,0
Smartproxy/Smartproxy,2019-07,6,0
Smartproxy/Smartproxy,2019-08,3,0
Smartproxy/Smartproxy,2019-09,3,0
Smartproxy/Smartproxy,2019-11,1,0
Smartproxy/Smartproxy,2019-12,1,0
Snailclimb/JavaGuide,2019-07,1551,0
Snailclimb/JavaGuide,2019-08,1169,0
Snailclimb/JavaGuide,2019-09,1368,0
Snailclimb/JavaGuide,2019-10,1229,0
Snailclimb/JavaGuide,2019-11,1583,0
Snailclimb/JavaGuide,2019-12,1300,0
Snailclimb/JavaGuide,2020-01,21,0
Solido/awesome-flutter,2019-07,481,0
Solido/awesome-flutter,2019-08,340,0
Solido/awesome-flutter,2019-09,328,0
Solido/awesome-flutter,2019-10,301,0
Solido/awesome-flutter,2019-11,270,0
Solido/awesome-flutter,2019-12,330,0
Solido/awesome-flutter,2020-01,5,0
SuperTux/supertux,2019-07,3,0
SuperTux/supertux,2019-08,2,0
SuperTux/supertux,2019-09,2,0
SuperTux/supertux,2019-10,4,0
SuperTux/supertux,2019-11,2,0
SuperTux/supertux,2019-12,10,0
Sylius/Sylius,2019-07,26,0
Sylius/Sylius,2019-08,14,0
Sylius/Sylius,2019-09,18,0
Sylius/Sylius,2019-10,23,0
Sylius/Sylius,2019-11,16,0
Sylius/Sylius,2019-12,18,0
TheAlgorithms/Java,2019-07,335,0
TheAlgorithms/Java,2019-08,201,0
TheAlgorithms/Java,2019-09,256,0
TheAlgorithms/Java,2019-10,490,0
TheAlgorithms/Java,2019-11,609,0
TheAlgorithms/Java,2019-12,284,0
TheAlgorithms/Java,2020-01,7,0
TheAlgorithms/Python,2019-07,1711,0
TheAlgorithms/Python,2019-08,684,0
TheAlgorithms/Python,2019-09,1543,0
TheAlgorithms/Python,2019-10,1005,0
TheAlgorithms/Python,2019-11,975,0
TheAlgorithms/Python,2019-12,791,0
TheAlgorithms/Python,2020-01,11,0
TheAlgorithms/Rust,2019-07,14,0
TheAlgorithms/Rust,2019-08,14,0
TheAlgorithms/Rust,2019-09,29,0
TheAlgorithms/Rust,2019-10,16,0
TheAlgorithms/Rust,2019-11,18,0
TheAlgorithms/Rust,2019-12,22,0
TheAnig/NER-LSTM-CNN-Pytorch,2019-08,1,0
TooTallNate/plist.js,2019-07,1,0
TooTallNate/plist.js,2019-08,1,0
TooTallNate/plist.js,2019-10,1,0
TooTallNate/plist.js,2019-11,1,0
TooTallNate/plist.js,2019-12,2,0
Y2Z/monolith,2019-08,784,0
Y2Z/monolith,2019-09,160,0
Y2Z/monolith,2019-10,41,0
Y2Z/monolith,2019-11,16,0
Y2Z/monolith,2019-12,100,0
Y2Z/monolith,2020-01,1,0
YerongAI/Office-Tool,2019-07,44,0
YerongAI/Office-Tool,2019-08,25,0
YerongAI/Office-Tool,2019-09,15,0
YerongAI/Office-Tool,2019-10,18,0
YerongAI/Office-Tool,2019-11,25,0
YerongAI/Office-Tool,2019-12,28,0
YerongAI/Office-Tool,2020-01,1,0
academic/awesome-datascience,2019-08,60,0
academic/awesome-datascience,2019-09,72,0
academic/awesome-datascience,2019-10,56,0
academic/awesome-datascience,2019-11,40,0
academic/awesome-datascience,2019-12,48,0
addyosmani/essential-js-design-patterns,2019-07,4,0
addyosmani/essential-js-design-patterns,2019-08,10,0
addyosmani/essential-js-design-patterns,2019-09,7,0
