repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
,profovapunex/apexleg,94,93,0.9893617021276596
,zigzagnikeron/yvge4eug56,93,92,0.989247311827957
,restbruno/MagicEden-NFT-Mint,90,89,0.9888888888888889
R_kgDOK58zzQ,"tukishlo/bitcoin-mixers-verified,tukishlo/best-bitcoin-mixers-2024",180,178,0.9888888888888889
,rodriguezlimichelPhoenix/MEV-BOT-Ethereum,89,88,0.9887640449438202
,ZunaPrime/Warframe-Gather,87,86,0.9885057471264368
,berkclouds/Discord-Token-Joiner,82,81,0.9878048780487805
,SPROKTAL/NFT-GENERATOR,245,242,0.9877551020408163
,ciaprisjerkho1989/Filmora,79,78,0.9873417721518988
,SevensSmen/Ascend-Scalp-Bot,79,78,0.9873417721518988
,RED-CRYPTER/RED-CRYPTER,78,77,0.9871794871794872
,devilking7867/youtube-view-bot-new,77,76,0.987012987012987
,FLYSAXZ/RainbowSixSiege-NewestSoftware,152,150,0.9868421052631579
,Bogsad/gatheringbot,73,72,0.9863013698630136
,dajustrockprom1989/Filmora,71,70,0.9859154929577465
,klefimvithe1982/Filmora,68,67,0.9852941176470589
,berkclouds/Discord-Mass-DM,68,67,0.9852941176470589
,prostobestfatal1992/supreme-octo-rotary-phone,68,67,0.9852941176470589
,ilderloralo/Fatlight-84,194,191,0.9845360824742269
,7795719/GitHub-Free,64,63,0.984375
,UNITEDSTATESOFKORDISTAN/Unit-Tool-Wal1et,64,63,0.984375
,Enuadlyam/Injuan-launcher,123,121,0.983739837398374
R_kgDOJTjHuw,elaina-a11y/Prediction-Bot-Automated-Prediction-Running-Bot,61,60,0.9836065573770492
,berkclouds/Modulo-Visualizer,61,60,0.9836065573770492
,berkclouds/Cardano-NFT-minting,60,59,0.9833333333333333
,vettipslanta1981/Adobe-Premiere-Pro,59,58,0.9830508474576272
,SecHex-Spoofy-1/SecHex-Spoofy-V1.5.8,59,58,0.9830508474576272
,subsfonmarsrit1977/Wondershare-Dr-Fone,57,56,0.9824561403508771
,berkclouds/Twitter-Solana-NFT-Sales-Bot,57,56,0.9824561403508771
,juywe/apexlegends,107,105,0.9813084112149533
,SamukaSRB/AspNetCore-5-Mvc,53,52,0.9811320754716981
,KevinLove3/valorant,158,155,0.9810126582278481
,sdfgr34u53/craxs-rat,52,51,0.9807692307692307
,exxteriumdev/exxteriumclient.net,103,101,0.9805825242718447
,SoullessCookie/tiktok-account-creator,562,551,0.9804270462633452
,vernicandfatt1983/Sketchup,51,50,0.9803921568627451
,berkclouds/Telegram-AirDrop-Bot,101,99,0.9801980198019802
,Paullhs/Byfron-Bypass,101,99,0.9801980198019802
,comfasttapencont/HWIDSpoofer,100,98,0.98
,stressernightmare/Stresser,99,97,0.9797979797979798
,sk4yx/discord-phishing-api,93,91,0.978494623655914
,PrInCeSSRoBiN/GTA5-Mod-Menu,92,90,0.9782608695652174
,queclavifgi1982/Adobe-Photoshop,91,89,0.978021978021978
,Alfred19946/Valorant-hack,90,88,0.9777777777777777
,HeronPreston/valorant-hack,84,82,0.9761904761904762
,berkclouds/Sol-NFT-MInt-Bot,82,80,0.975609756097561
R_kgDOIhu38A,ZoppySport/ZoppySportsSystem,111,108,0.972972972972973
R_kgDOJxVMKQ,nanette1/PancakeSwap-Sniper-Bot,259,252,0.972972972972973
,steelalponbano/Elytra-swapper,73,71,0.9726027397260274
,ER34R34R/Rainbow-Six-SiegeNewestSoftware,106,103,0.9716981132075472
,mathside/Valorant-Account-Checker-Premium,104,101,0.9711538461538461
R_kgDOMAmo7A,to252525/incognito-market,100,97,0.97
,FastMiners/Gminer,966,936,0.968944099378882
,rogosgp/greek-iptv,94,91,0.9680851063829787
,Neu-NotEnoughUpdates/NotEnoughUpdates,92,89,0.967391304347826
,w1961/darkweb-tour,205,198,0.9658536585365853
,tora-in-net/onion-sites-list-2024,1458,1406,0.9643347050754458
,LauraYoung1937/LauraYoung1937,56,54,0.9642857142857143
,vaks16/darkweb-now,1490,1435,0.9630872483221476
R_kgDOMIY_Xg,tk1developed/NicoBot-MD,54,52,0.9629629629629629
,onlofadisp1972/Adobe-Premiere-Pro,52,50,0.9615384615384616
,webtr333/Nitro-Generator-AND-Checker,747,718,0.9611780455153949
R_kgDOKwa4bA,tqTitboy/hidden-wiki-2024,103,99,0.9611650485436893
,GarthOwen/panel-game,76,73,0.9605263157894737
R_kgDOMAmy0g,tjgf150/vice-city-market,101,97,0.9603960396039604
,usdc-2boks/Creal-Stealer,615,590,0.959349593495935
,AzopHuber/SecHex-GUI,147,141,0.9591836734693877
,sdafsakjfh43/spynote,72,69,0.9583333333333334
,anesthesiahvh/Technetium-AI,118,113,0.9576271186440678
,Anonimus13372/Coinlist,94,90,0.9574468085106383
,mathside/Discord-NItro-Token-Checker-V2,67,64,0.9552238805970149
,urenesh/bitcoin-mixers-2024,108,103,0.9537037037037037
,CharLotto5/Soft-Table,85,81,0.9529411764705882
R_kgDOK7eEVg,Ag1153/DARC,125,119,0.952
,johnu0/Solana-Sniper-Bot-RUGCHECK,83,79,0.9518072289156626
,txfescadavie/MevBot,101,96,0.9504950495049505
R_kgDOLYtRHA,2311676378/2311676378,60,57,0.95
,vovan-x5/darkdock-market,99,94,0.9494949494949495
,riadidaturo/tatsi,355,337,0.9492957746478873
,wasa-ada/tor-verified-list,169,160,0.9467455621301775
,gendcatemmock1982/Sony-Vegas,74,70,0.9459459459459459
,vitaliydon2/verified-tor-sites,846,799,0.9444444444444444
,1Lampz1/Uza-Project-v2,141,133,0.9432624113475178
,nelworktalkphe1970/CorelDraw,86,81,0.9418604651162791
MDEwOlJlcG9zaXRvcnkyNjU3NzY4MjM=,chengxue2020/dszb,86,81,0.9418604651162791
R_kgDOMAme9w,upsman3099/dark-matter-market,100,94,0.94
,sadhanapramuditha/Tarkov-hack,848,797,0.9398584905660378
R_kgDOMAmU1A,ww15qq/ares-market,99,93,0.9393939393939394
R_kgDOItv0jw,vmixsocial/Nethcafe,96,90,0.9375
,upulkarmaglide/MEV-BOT-JAREDFROMSUBWAYETH,75,70,0.9333333333333333
,PeterDepOps/MagicEdenBot,58,54,0.9310344827586207
R_kgDOK4bI3w,jinshenganyuci/Telegram-automatic-translation,187,174,0.93048128342246
,vmot07/kerberos-market,100,93,0.93
,EnterSpise/MightyMinerFIXED,113,105,0.9292035398230089
,nick221111191282/cryptoAI,301,278,0.9235880398671097
,dracul198143/1,169,156,0.9230769230769231
,HumbleNicole688/telegram-mass-advertiser,127,117,0.9212598425196851
,swcdse/Spynote-V-10-Latest,75,69,0.92
,k1ngmnm/DayZ-Cheat,106,97,0.9150943396226415
MDEwOlJlcG9zaXRvcnkyNzA3MzM1MTg=,s2click/venom,94,86,0.9148936170212766
R_kgDOIj38dA,HAKANKOKCU/Birdy-Roblox-Place-Explorer,103,94,0.912621359223301
R_kgDOJrAdvg,serverscanning/place-ipv6-server,987,900,0.9118541033434651
,xstarfallingx/Arbitrage-Sandwich-Mev-Bot,181,165,0.9116022099447514
,axhds8ih00/dll-Aimbot,79,72,0.9113924050632911
,Christopher-abarikwu/dxr8gyXjjYMQ6KFVAg,79,72,0.9113924050632911
R_kgDOIVT13Q,BlockBox2000/php-radius,56,51,0.9107142857142857
,StrongZe/valorant-checker,324,295,0.9104938271604939
,tristandalton/Mev-bot,265,241,0.909433962264151
R_kgDOLp39Ng,01072006/der8gyXjjYMQ6KFVAg,65,59,0.9076923076923077
R_kgDOK_lisQ,"vityabamacegora/comet-steam,vityabamacegora/carding-sites",805,729,0.9055900621118013
,DARKO1771/discord-advertising-tool,114,103,0.9035087719298246
,solddead/V1.4M,159,143,0.89937106918239
,liheckdrizta1973/Davinci-Resolve,69,62,0.8985507246376812
MDEwOlJlcG9zaXRvcnkyMzM3MTIxNjY=,DaniloVinchi/Cryptocurrency-Screener,440,395,0.8977272727272727
MDEwOlJlcG9zaXRvcnkzNDYzOTk3ODE=,gsqblockchain/gsqbc,65,58,0.8923076923076924
,anatacha/tidal-live-stream-botting,91,81,0.8901098901098901
