github,total_stars,fake_stars,fake_percentage
hayes/pothos,2272,1,0.04401408450704226
meandmax/lory,2273,1,0.04399472063352398
hayes/giraphql,2274,1,0.04397537379067722
rich-harris/magic-string,2277,1,0.04391743522178305
balderdashy/sails,22802,10,0.04385580212262082
uiwjs/province-city-china,2301,1,0.0434593654932638
slackapi/hubot-slack,2303,1,0.04342162396873643
shaka-project/shaka-player,6926,3,0.04331504475887958
gkz/LiveScript,2310,1,0.04329004329004329
nvh95/jest-preview,2311,1,0.043271311120726956
mosch/react-avatar-editor,2317,1,0.04315925766076824
microsoft/FluidFramework,4658,2,0.042936882782310004
koajs/koa,34952,15,0.042915999084458686
olton/Metro-UI-CSS,7002,3,0.042844901456726654
reactjs/react-a11y,2337,1,0.04278990158322636
atlassian/react-beautiful-dnd,32748,14,0.0427507023329669
sindresorhus/got,14050,6,0.042704626334519574
nimiq/qr-scanner,2342,1,0.04269854824935952
siriwatknp/mui-treasury,2348,1,0.04258943781942078
next-theme/hexo-theme-next,2350,1,0.0425531914893617
Vestride/Shuffle,2353,1,0.042498937526561836
zxing-js/library,2356,1,0.042444821731748725
ecomfe/vue-echarts,9427,4,0.04243131430996075
bokuweb/react-resizable-box,2360,1,0.0423728813559322
Splidejs/splide,4728,2,0.04230118443316413
antlr/antlr4,16668,7,0.0419966402687785
casesandberg/react-color,11923,5,0.041935754424222094
andreineculau/know-your-http-well,2386,1,0.041911148365465216
DIYgod/APlayer,7165,3,0.0418702023726448
nhn/tui.grid,2389,1,0.041858518208455424
DanielRapp/doppler.js,2389,1,0.041858518208455424
twbs/bootlint,2400,1,0.04166666666666667
react-native-community/datetimepicker,2405,1,0.04158004158004158
cloudflare/workers-sdk,2407,1,0.04154549231408392
wuxudong/react-native-charts-wrapper,2417,1,0.04137360364087712
NaturalIntelligence/fast-xml-parser,2419,1,0.0413393964448119
rethinkdb/rethinkdb,26613,11,0.04133318303084958
oblador/react-native-collapsible,2423,1,0.04127115146512588
vercel/pkg,24240,10,0.041254125412541254
IdentityModel/oidc-client-js,2424,1,0.041254125412541254
google/closure-library,4851,2,0.04122861265718408
soldair/node-qrcode,7278,3,0.041220115416323165
TarikHuber/react-most-wanted,2426,1,0.041220115416323165
fancyapps/fancybox,7287,3,0.04116920543433512
fancyapps/fancyBox,7287,3,0.04116920543433512
