repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
MDEwOlJlcG9zaXRvcnk5MDkwMzE1Ng==,RomascuAndrei/BTNotifierAndroid,139,90,0.6474820143884892
R_kgDOJ0xo2w,P20-ORG/P-20-Blockchain,705,454,0.6439716312056738
R_kgDOJ6T2Gg,rocketapi-io/threads-private-api,146,94,0.6438356164383562
,feet/audient,6815,4385,0.6434336023477623
,whiterose678/binance-trading-bot,84,54,0.6428571428571429
R_kgDOLWXirg,krithivjayapr/TweetMaster,78,50,0.6410256410256411
,vihuh/nexus-market,1680,1070,0.6369047619047619
,Skytls/Skytils,85,54,0.6352941176470588
,paidworkco/.github,112,71,0.6339285714285714
,tomhginis/html5-picture-editor,165,104,0.6303030303030303
R_kgDOL1ARCg,"HoneypotToken/How-to-create-Honeypot-Token,HoneypotToken/how-to-create-a-honeypot-token",3542,2229,0.629305477131564
R_kgDOIkeA0w,pachimsh/pachim-docs,102,64,0.6274509803921569
,Cryptocandy342/Pancakeswap-Sniper-Bot,396,248,0.6262626262626263
,paidworkco/worken-sdk-php,903,564,0.6245847176079734
,eexaf/MEV-BOT,87,54,0.6206896551724138
,astonium-dev2/rainbow-six-siege-astonium,191,118,0.6178010471204188
,Bijen786/FILMORA-CRACK-DOWNLOAD-2023-40957,209,129,0.6172248803827751
R_kgDOKGXObQ,NatroTeam/NatroMacro,1009,620,0.6144697720515362
,Pimpkaf/ETH-ARBITRAGE-MEV-BOT,111,68,0.6126126126126126
R_kgDOLb4otg,Synthmania/StakeBot-Predictor,98,60,0.6122448979591837
,nftdevs/NFTs_Upload_To_OpenSea_With_Metadata,187,113,0.6042780748663101
,NOTMORSE/liqudity-pool-bot-auto-buyer,244,147,0.6024590163934426
,BloBlue/BlueSeaSniper,686,413,0.6020408163265306
MDEwOlJlcG9zaXRvcnkyMDQwOTI1NTQ=,akio-tanaka/lickey,788,474,0.6015228426395939
,mydexchain/mydexchain,318,191,0.60062893081761
MDEwOlJlcG9zaXRvcnkxODcxNzk0MTQ=,insight-chain/inb-go,451,268,0.5942350332594235
,markwalker4516/RUST-HACK-ESP-AIMBOT-More-functionality-Black,303,180,0.594059405940594
,ricardofcardoso/Silent-Crypto-Miner-latest,393,231,0.5877862595419847
,CryptoDishmon/Pancakeswap-Sniper-Bot,186,109,0.5860215053763441
,terenchiva/archetyp-market-url,379,222,0.5857519788918206
,bossiskar/seed-phrase-generator,656,384,0.5853658536585366
,Lynzed/VALORANT-INCEPTION,108,63,0.5833333333333334
R_kgDOKHSigw,ncc-erp/metasign,763,445,0.583224115334207
MDEwOlJlcG9zaXRvcnkyNjE2ODA5MjY=,FOSSEE/FSF-mathematics-python-code-archive,115,67,0.5826086956521739
R_kgDOJplG1w,AkshatOP/Poketwo-Autocatcher,434,252,0.5806451612903226
,latermenator1/credi256,88,51,0.5795454545454546
,Drainersby0x/MULTICHAIN-DRAINER-CRYPTO-WALLET-STEALER-ETH-ETHEREUM-SEAPORT-2023,168,97,0.5773809523809523
MDEwOlJlcG9zaXRvcnk3ODA0NjM3,Blackfrosch/VAGEDCSuite,300,173,0.5766666666666667
R_kgDOKhp1wg,joaokristani/Discord-Server-Cloner-2x,929,535,0.5758880516684607
R_kgDOKNcKhQ,DevTech-Services/DevHaxx,106,61,0.5754716981132075
